declared_repo,resolved_repo,repo_id,status,checked_at
a-edev/flow,,gh/1079329832,same,2026-07-12T16:38:12+00:00
aidriventesting/agent,aidriventesting/robotframework-agent,gh/1066496098,renamed,2026-07-12T16:38:12+00:00
akkoyun/console,,gh/453671251,same,2026-07-12T16:38:13+00:00
alexliesenfeld/httpmock,httpmock/httpmock,gh/207288123,renamed,2026-07-12T16:38:13+00:00
alexmojaki/futurecoder,,gh/231656051,same,2026-07-12T16:38:14+00:00
alfornh/lr,,gh/589458246,same,2026-07-12T16:38:14+00:00
alibaba/arthas,,gh/146633589,same,2026-07-12T16:38:15+00:00
alibaba/fescar,apache/incubator-seata,gh/163387337,renamed,2026-07-12T16:38:15+00:00
alibaba/form-render,alibaba/x-render,gh/211033256,renamed,2026-07-12T16:38:16+00:00
alibaba/formily,,gh/164768889,same,2026-07-12T16:38:16+00:00
alibaba/kubeskoop,,gh/589651556,same,2026-07-12T16:38:17+00:00
alibaba/lightproxy,,gh/230353730,same,2026-07-12T16:38:17+00:00
alibaba/rax,,gh/70887222,same,2026-07-12T16:38:18+00:00
alibaba/sentinel,,gh/128018428,same,2026-07-12T16:38:18+00:00
alibaba/spring-cloud-alibaba,,gh/112785414,same,2026-07-12T16:38:18+00:00
alibaba/transmittable-thread-local,,gh/13536393,same,2026-07-12T16:38:19+00:00
alibaba/weex-ui,apache/incubator-weex-ui,gh/105006031,renamed,2026-07-12T16:38:19+00:00
aloneguid/config,,gh/41531700,same,2026-07-12T16:38:20+00:00
altair-graphql/altair,,gh/86188653,same,2026-07-12T16:38:20+00:00
amethyst/theta-wave,thetawavegame/thetawave-legacy,gh/187731806,renamed,2026-07-12T16:38:21+00:00
ananto30/zero,,gh/257673445,same,2026-07-12T16:38:21+00:00
ant-design/ant-design-mobile,,gh/47093357,same,2026-07-12T16:38:22+00:00
ant-design/ant-design-mobile-rn,,gh/131822486,same,2026-07-12T16:38:22+00:00
ant-design/ant-design-pro,,gh/101394335,same,2026-07-12T16:38:22+00:00
ant-design/ant-motion,,gh/51888892,same,2026-07-12T16:38:23+00:00
apache/groovy,,gh/34039690,same,2026-07-12T16:38:23+00:00
apache/incubator-streampark,apache/streampark,gh/188779637,renamed,2026-07-12T16:38:23+00:00
apache/netbeans,,gh/102083576,same,2026-07-12T16:38:24+00:00
apache/plc4x,,gh/114859883,same,2026-07-12T16:38:24+00:00
appium/appium,,gh/7530570,same,2026-07-12T16:38:25+00:00
armbian/build,,gh/24905898,same,2026-07-12T16:38:25+00:00
aryprogrammer/codex,,gh/902093835,same,2026-07-12T16:38:26+00:00
ashtuchkin/iconv-lite,pillarjs/iconv-lite,gh/2743221,renamed,2026-07-12T16:38:26+00:00
assegaiphp/core,,gh/524953445,same,2026-07-12T16:38:26+00:00
automation-co/husky,,gh/465151702,same,2026-07-12T16:38:27+00:00
ava-ia/core,,gh/59555562,same,2026-07-12T16:38:27+00:00
avalex33/ai,,gh/714888104,same,2026-07-12T16:38:28+00:00
azjezz/psl,php-standard-library/php-standard-library,gh/229847129,renamed,2026-07-12T16:38:28+00:00
bazel-contrib/sig-rules-authors,,gh/414354540,same,2026-07-12T16:38:29+00:00
beerush-id/anchor,beerush-id/airstack,gh/689097819,renamed,2026-07-12T16:38:29+00:00
billyeatcookies/biscuit,tomlin7/biscuit,gh/413544839,renamed,2026-07-12T16:38:30+00:00
blosc/c-blosc2,,gh/40355993,same,2026-07-12T16:38:30+00:00
brightics/studio,,gh/154076901,same,2026-07-12T16:38:31+00:00
browserslist/browserslist-useragent-regexp,,gh/176157005,same,2026-07-12T16:38:31+00:00
byron/gitoxide,gitoxidelabs/gitoxide,gh/136510559,renamed,2026-07-12T16:38:32+00:00
capitalfxtrading8642/dash,,gh/593681236,same,2026-07-12T16:38:32+00:00
cenk1cenk2/listr2,listr2/listr2,gh/243554746,renamed,2026-07-12T16:38:33+00:00
chaibuilder/sdk,,gh/752521913,same,2026-07-12T16:38:34+00:00
chmln/flatpickr,flatpickr/flatpickr,gh/40511756,renamed,2026-07-12T16:38:34+00:00
chriso/validator.js,validatorjs/validator.js,gh/965782,renamed,2026-07-12T16:38:35+00:00
chrome/go,,,missing,2026-07-12T16:38:35+00:00
chzyer/readline,,gh/42817478,same,2026-07-12T16:38:35+00:00
codeeditorland/environment,dependencycodeeditorland/dependency,gh/711334801,renamed,2026-07-12T16:38:36+00:00
coderaiser/cloudcmd,,gh/4585500,same,2026-07-12T16:38:36+00:00
colorjs/color-space,,gh/27033552,same,2026-07-12T16:38:37+00:00
cond8/core,,gh/968865978,same,2026-07-12T16:38:37+00:00
conduit-dart/conduit,,gh/350125402,same,2026-07-12T16:38:38+00:00
cookiecutter/cookiecutter-django,,gh/12115269,same,2026-07-12T16:38:38+00:00
coolvibeslgbt/core,,gh/1027681092,same,2026-07-12T16:38:39+00:00
crsmithdev/arrow,arrow-py/arrow,gh/6750871,renamed,2026-07-12T16:38:39+00:00
ctrlplusb/easy-peasy,,gh/154051159,same,2026-07-12T16:38:40+00:00
curbol/temporal,,gh/1102901921,same,2026-07-12T16:38:40+00:00
daemonite/material,,gh/31000517,same,2026-07-12T16:38:41+00:00
dajiaji/hpke-js,,gh/489156455,same,2026-07-12T16:38:41+00:00
darlinghq/darling,,gh/7077690,same,2026-07-12T16:38:42+00:00
davidkpiano/xstate,statelyai/xstate,gh/42455934,renamed,2026-07-12T16:38:42+00:00
ddkits/cli,,gh/95692808,same,2026-07-12T16:38:43+00:00
ddnb/javascript,,gh/871803899,same,2026-07-12T16:38:43+00:00
diegomura/react-pdf,,gh/71293321,same,2026-07-12T16:38:43+00:00
dint-dev/cryptography,,gh/171332174,same,2026-07-12T16:38:44+00:00
django-commons/membership,,gh/776554660,same,2026-07-12T16:38:44+00:00
dotnet/silk.net,,gh/191232240,same,2026-07-12T16:38:45+00:00
duckframework/duck,,gh/574089248,same,2026-07-12T16:38:45+00:00
dudykr/stc,,gh/325283778,same,2026-07-12T16:38:46+00:00
egoist/eme,,gh/63537564,same,2026-07-12T16:38:46+00:00
ervin210/serverless,,,missing,2026-07-12T16:38:48+00:00
eugeny/tabby,,gh/77213120,same,2026-07-12T16:38:48+00:00
facebook/create-react-app,react/create-react-app,gh/63537249,renamed,2026-07-12T16:38:49+00:00
fairgrade/ai,,,missing,2026-07-12T16:38:50+00:00
forge-build/forge,,gh/730303421,same,2026-07-12T16:38:50+00:00
freerange/mocha,,gh/59509,same,2026-07-12T16:38:50+00:00
freerdp/remmina,,gh/2696306,same,2026-07-12T16:38:51+00:00
friendsofhyperf/components,,gh/494350706,same,2026-07-12T16:38:51+00:00
fruzino/mint,,gh/1169382589,same,2026-07-12T16:38:52+00:00
ganyuanran/aegis,,gh/1225840521,same,2026-07-12T16:38:52+00:00
gjtorikian/commonmarker,,gh/35197979,same,2026-07-12T16:38:52+00:00
gliderlabs/ssh,,gh/69914159,same,2026-07-12T16:38:53+00:00
go-sonic/sonic,,gh/559279408,same,2026-07-12T16:38:53+00:00
goatui/components,redvars/peacock,gh/305574444,renamed,2026-07-12T16:38:54+00:00
googlechrome/rendertron,,gh/86003510,same,2026-07-12T16:38:54+00:00
googlechromelabs/adaptive-loading,,gh/196459349,same,2026-07-12T16:38:55+00:00
graphowls/core,,gh/892709556,same,2026-07-12T16:38:55+00:00
gravelight-studio/box,dbartlett-wylla/box,gh/1093832658,renamed,2026-07-12T16:38:56+00:00
gregberge/xstyled,styled-components/xstyled,gh/188427649,renamed,2026-07-12T16:38:56+00:00
h2non/imaginary,,gh/31673858,same,2026-07-12T16:38:57+00:00
harmonix-js/core,harmonix-js/harmonix,gh/796749970,renamed,2026-07-12T16:38:57+00:00
hassan689/connect,,gh/1097508731,same,2026-07-12T16:38:58+00:00
hearchco/agent,,gh/670775698,same,2026-07-12T16:38:58+00:00
helix-editor/helix,,gh/268424739,same,2026-07-12T16:38:58+00:00
hydra-synth/hydra,,gh/112378220,same,2026-07-12T16:38:59+00:00
i18n-pro/core,,gh/502261934,same,2026-07-12T16:38:59+00:00
ibnlanre/portal,,gh/647962637,same,2026-07-12T16:39:00+00:00
ibrahimsag/read,,gh/296838462,same,2026-07-12T16:39:00+00:00
infernojs/inferno,,gh/30161665,same,2026-07-12T16:39:00+00:00
intosoft/qrcode,,gh/762770989,same,2026-07-12T16:39:01+00:00
invenhost/plugins,,gh/721493281,same,2026-07-12T16:39:01+00:00
ivanceras/diwata,,gh/113599055,same,2026-07-12T16:39:02+00:00
ivanceras/rustorm,,gh/114145293,same,2026-07-12T16:39:02+00:00
ja7ad/otp,,gh/959639219,same,2026-07-12T16:39:02+00:00
jaredpalmer/razzle,,gh/51462299,same,2026-07-12T16:39:03+00:00
jedisct1/dnscrypt-proxy,dnscrypt/dnscrypt-proxy,gh/116739828,renamed,2026-07-12T16:39:03+00:00
jedisct1/libhydrogen,,gh/80458219,same,2026-07-12T16:39:04+00:00
jedisct1/pure-ftpd,,gh/301941,same,2026-07-12T16:39:04+00:00
jenssegers/agent,,gh/12018530,same,2026-07-12T16:39:04+00:00
jenssegers/imagehash,,gh/27548713,same,2026-07-12T16:39:05+00:00
joblisttoday/data,,gh/300687247,same,2026-07-12T16:39:05+00:00
josephg/statecraft,,gh/63514256,same,2026-07-12T16:39:06+00:00
jsh32/codex,,gh/623128690,same,2026-07-12T16:39:06+00:00
keras-team/autokeras,,gh/111340129,same,2026-07-12T16:39:06+00:00
kergoth/tslib,libts/tslib,gh/660028,renamed,2026-07-12T16:39:07+00:00
lancedikson/bowser,bowser-js/bowser,gh/1673025,renamed,2026-07-12T16:39:07+00:00
lazervel/path,,gh/869167417,same,2026-07-12T16:39:08+00:00
likhonsheikh54/opencollective,,,missing,2026-07-12T16:39:08+00:00
localzet/server,,gh/497332606,same,2026-07-12T16:39:09+00:00
luin/ioredis,redis/ioredis,gh/33293613,renamed,2026-07-12T16:39:09+00:00
lukeed/pwa,,gh/138141173,same,2026-07-12T16:39:10+00:00
marcelklehr/floccus,floccusaddon/floccus,gh/60434915,renamed,2026-07-12T16:39:10+00:00
marouanesouiri/yada,marouanesouiri/dwaz,gh/1021617857,renamed,2026-07-12T16:39:11+00:00
material-table-core/core,,gh/322969426,same,2026-07-12T16:39:11+00:00
maxlab/stacker,,gh/74264485,same,2026-07-12T16:39:12+00:00
mdn/translated-content-de,,gh/862292339,same,2026-07-12T16:39:12+00:00
mdsabbirsrt/text,,,missing,2026-07-12T16:39:13+00:00
means-of-production/domain,,gh/1048567529,same,2026-07-12T16:39:13+00:00
melospot/icons,,gh/942086010,same,2026-07-12T16:39:13+00:00
merencia/node-cron,node-cron/node-cron,gh/51018902,renamed,2026-07-12T16:39:14+00:00
module-federation/universe,module-federation/core,gh/306976345,renamed,2026-07-12T16:39:14+00:00
moondesignsystem/react,,gh/977927423,same,2026-07-12T16:39:15+00:00
mustafaturan/bus,,gh/183738244,same,2026-07-12T16:39:15+00:00
n7ghtm4r3/equinox,,gh/793741949,same,2026-07-12T16:39:16+00:00
namazustudios/elements,,gh/946370470,same,2026-07-12T16:39:16+00:00
nathancahill/split,,gh/41578337,same,2026-07-12T16:39:16+00:00
naturalintelligence/imglab,,gh/108266846,same,2026-07-12T16:39:17+00:00
nedbat/coveragepy,coveragepy/coveragepy,gh/138421996,renamed,2026-07-12T16:39:17+00:00
netless-io/flat,,gh/290373467,same,2026-07-12T16:39:18+00:00
ngxs/store,,gh/121422793,same,2026-07-12T16:39:18+00:00
nixos/nixpkgs,,gh/4542716,same,2026-07-12T16:39:19+00:00
noumanjavaid96/streamlit,,gh/830291896,same,2026-07-12T16:39:19+00:00
okonet/lint-staged,lint-staged/lint-staged,gh/49704723,renamed,2026-07-12T16:39:19+00:00
onegreyonewhite/configparserc,,gh/639632650,same,2026-07-12T16:39:20+00:00
open-app/core,,gh/20120667,same,2026-07-12T16:39:20+00:00
open-bemasy/core,bemasy/core,gh/897744597,renamed,2026-07-12T16:39:21+00:00
opencollective/documentation,,gh/1062681561,same,2026-07-12T16:39:21+00:00
opencollective/opencollective,,gh/50683765,same,2026-07-12T16:39:22+00:00
osscameroon/opencollective,,gh/619100354,same,2026-07-12T16:39:22+00:00
parkembedded/graphite,,gh/759226325,same,2026-07-12T16:39:22+00:00
phantomuix/core,,gh/709540611,same,2026-07-12T16:39:23+00:00
phcode-dev/phoenix,,gh/393428601,same,2026-07-12T16:39:23+00:00
php/pecl-search_engine-solr,,gh/16682782,same,2026-07-12T16:39:24+00:00
pion/webrtc,,gh/134012064,same,2026-07-12T16:39:24+00:00
pmndrs/jotai,,gh/286867459,same,2026-07-12T16:39:24+00:00
pmndrs/uikit,,gh/758157194,same,2026-07-12T16:39:25+00:00
potatoproject/leaflet,,gh/199924494,same,2026-07-12T16:39:25+00:00
preflight-ai/cli,,gh/1085824853,same,2026-07-12T16:39:26+00:00
prettier/plugin-ruby,,gh/134440972,same,2026-07-12T16:39:26+00:00
prettier/prettier-eslint,,gh/78819190,same,2026-07-12T16:39:27+00:00
prism-rb/prism,,gh/218407034,same,2026-07-12T16:39:27+00:00
probablyup/markdown-to-jsx,quantizor/markdown-to-jsx,gh/47486737,renamed,2026-07-12T16:39:27+00:00
pterodactyl/panel,,gh/47508644,same,2026-07-12T16:39:28+00:00
pug-php/pug,,gh/59010999,same,2026-07-12T16:39:28+00:00
pycqa/redbaron,,gh/18027281,same,2026-07-12T16:39:29+00:00
pytorch/ignite,,gh/111835796,same,2026-07-12T16:39:29+00:00
qwerty123a2/test,,gh/478441156,same,2026-07-12T16:39:29+00:00
railroad-team/railroad,,gh/776957541,same,2026-07-12T16:39:30+00:00
ratatui-org/ratatui,ratatui/ratatui,gh/600886023,renamed,2026-07-12T16:39:30+00:00
re-path/studio,repath-studio/repath-studio,gh/374744219,renamed,2026-07-12T16:39:31+00:00
react-native-ui/dialog,,gh/747186935,same,2026-07-12T16:39:32+00:00
reactivex/rxgo,,gh/70827996,same,2026-07-12T16:39:32+00:00
reacttraining/react-router,remix-run/react-router,gh/19872456,renamed,2026-07-12T16:39:32+00:00
riot/riot,,gh/13142126,same,2026-07-12T16:39:33+00:00
rize/uritemplate,,gh/18288517,same,2026-07-12T16:39:33+00:00
