repo,repo_id,score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,Webhooks,date
0015/thatproject,195199001,2.9,10,3,0,0,0,3,-1,10,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-06T20:35:10+01:00
0voice/algorithm-structure,272414961,2.3,10,0,-1,0,0,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:36:14+01:00
0x1abin/multitimer,68795424,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:59:40+01:00
0xchocolate/flipperzero-wifi-marauder,517178329,3.7,10,0,5,0,2,10,10,0,0,10,2,-1,0,0,0,-1,0,10,,2026-04-07T17:01:00+01:00
0xfa11/multiplayernetworkingresources,118740023,2.8,10,0,0,0,2,10,-1,0,0,0,1,-1,-1,0,0,-1,-1,10,,2026-04-06T13:40:54+01:00
10der/homeassistant-custom_components-awtrix,748539167,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:27:31+01:00
256dpi/arduino-mqtt,27349944,3.2,10,0,0,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T16:59:51+01:00
34736384/genshin-fps-unlock,363349493,3.1,10,0,0,0,0,0,-1,0,0,10,9,-1,-1,0,0,0,-1,10,,2026-04-06T17:37:34+01:00
3proxy/3proxy,18551709,3.6,10,0,0,0,0,6,10,0,0,9,10,-1,0,0,0,0,0,10,,2026-04-06T15:40:06+01:00
7rulnik/source-map-js,330043541,3.0,10,3,0,0,2,10,-1,0,0,9,7,-1,-1,0,0,-1,-1,0,,2026-04-27T15:53:04+01:00
86box/86box,61964127,5.5,10,0,10,0,1,10,10,10,0,10,10,-1,0,10,4,0,0,10,,2026-04-06T16:37:00+01:00
9176324/shark,153141222,2.2,8,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T18:01:03+01:00
9fans/plan9port,26095474,6.2,10,0,7,0,8,10,10,10,10,9,10,-1,0,0,0,-1,0,10,,2026-04-07T10:58:12+01:00
a0rtega/pafish,4849630,2.3,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-06T16:38:02+01:00
a2o/snoopy,7248772,3.2,10,3,0,0,0,3,0,0,0,10,5,-1,0,7,9,0,0,10,,2026-04-07T15:01:30+01:00
abb128/livecaptions,572363468,3.4,10,0,0,0,2,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T11:54:59+01:00
abcminiuser/lufa,4771934,1.8,0,0,0,0,3,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:45+01:00
abishekvashok/cmatrix,14021219,3.5,10,1,0,0,9,10,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-06T15:40:29+01:00
abrasive/shairport,1597711,2.8,10,0,0,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-06T19:48:32+01:00
acados/acados,55497573,6.9,10,8,10,0,8,10,10,10,0,9,10,-1,0,10,0,-1,0,9,,2026-04-07T15:03:26+01:00
acassen/keepalived,4988795,4.8,10,0,8,0,0,10,10,0,0,10,2,-1,0,9,0,-1,9,10,,2026-04-06T16:34:56+01:00
aceinnolab/inkycal,146219350,3.1,0,0,10,0,0,10,10,10,0,10,0,-1,0,0,0,0,0,8,,2026-04-07T13:57:00+01:00
acidanthera/opencorepkg,179354282,4.0,0,3,10,0,1,10,10,0,10,10,10,-1,0,0,0,0,0,10,,2026-04-06T12:40:11+01:00
acidicoala/screamapi,276600217,3.9,8,0,-1,0,0,0,10,0,0,10,0,-1,10,0,0,0,9,10,,2026-04-07T14:58:23+01:00
acornjs/acorn,5932749,5.2,10,0,7,0,3,10,10,0,0,0,10,-1,3,0,0,-1,10,10,,2026-04-27T14:56:11+01:00
acornjs/acorn-jsx,22187098,3.0,10,0,0,0,1,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:27:31+01:00
adafruit/adafruit_learning_system_guides,105065494,4.2,6,3,10,0,4,10,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-07T16:58:33+01:00
adafruit/adafruit_python_dht,20585627,3.0,10,0,0,0,5,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:05+01:00
adamdunkels/uip,9062884,1.7,10,0,-1,0,0,6,-1,0,0,0,0,-1,-1,0,0,-1,-1,3,,2026-04-07T17:01:53+01:00
addy-dclxvi/almighty-dotfiles,103657132,1.3,1,0,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:58:42+01:00
ading2210/linuxpdf,916802481,3.9,10,0,-1,0,0,3,10,0,0,10,0,-1,0,0,0,-1,9,10,,2026-04-06T16:34:52+01:00
adobe/react-spectrum,208362715,5.8,10,,10,0,9,10,10,0,10,10,10,-1,0,0,10,-1,0,0,,2026-05-03T17:32:33+01:00
adoxa/ansicon,1060945,2.3,10,0,-1,0,0,0,-1,0,0,9,0,-1,-1,0,0,0,-1,10,,2026-04-07T15:03:40+01:00
adrianlopezroche/fdupes,19813003,2.6,10,3,0,0,1,0,-1,0,0,9,0,-1,-1,0,0,0,-1,10,,2026-04-06T18:51:24+01:00
adsr/phpspy,128580589,3.2,10,0,1,0,1,3,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-07T13:00:54+01:00
aergoio/litetree,143778005,3.4,10,6,0,0,0,3,-1,0,0,10,1,-1,-1,0,0,-1,-1,10,,2026-04-07T11:56:37+01:00
agronholm/anyio,145337588,6.2,10,,9,0,5,10,10,10,0,10,10,10,0,0,0,-1,0,10,,2026-05-03T17:32:33+01:00
agronholm/exceptiongroup,447694800,4.4,10,0,10,0,1,6,10,0,0,9,1,10,0,0,10,-1,0,10,,2026-04-27T21:27:41+01:00
ahrm/sioyek,385037052,3.6,6,0,0,0,2,10,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-06T13:39:29+01:00
ai/nanoid,99401299,7.2,10,0,9,0,2,10,10,10,0,10,10,-1,10,5,10,-1,9,8,,2026-04-27T16:07:30+01:00
aio-libs/aiobotocore,36618494,7.5,10,8,8,0,0,10,10,10,0,10,10,10,9,8,10,-1,10,2,,2026-04-27T15:05:43+01:00
aio-libs/aiohttp,13258039,7.4,10,3,10,0,8,10,10,10,10,9,10,10,0,10,10,3,0,10,,2026-04-27T15:07:05+01:00
aio-libs/aiosignal,205007356,7.4,10,,10,0,10,10,10,10,0,10,10,10,2,10,10,1,0,10,,2026-05-03T17:32:33+01:00
aio-libs/async-timeout,67703198,5.9,10,3,9,0,-1,10,-1,10,0,9,0,-1,-1,9,10,0,-1,10,,2026-04-27T16:03:32+01:00
aio-libs/frozenlist,204197530,6.5,10,,10,0,5,10,10,10,0,10,0,10,0,10,10,6,0,10,,2026-05-03T23:21:24+01:00
aio-libs/multidict,51206425,7.4,10,3,10,0,5,10,10,10,10,9,10,-1,0,10,10,8,0,10,,2026-04-27T21:27:58+01:00
aio-libs/propcache,866565706,6.8,10,3,10,0,2,10,10,10,0,10,9,10,0,10,10,8,0,10,,2026-04-27T21:28:15+01:00
aio-libs/yarl,64756820,7.4,10,3,10,0,2,10,10,10,10,10,10,10,0,10,10,8,0,10,,2026-04-27T16:08:08+01:00
airblader/i3,26973029,3.1,10,0,-1,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-06T14:42:51+01:00
aircrack-ng/aircrack-ng,124678204,4.7,10,0,2,0,1,10,10,0,0,10,0,10,0,10,10,-1,0,10,,2026-04-06T14:35:59+01:00
aircrack-ng/rtl8188eus,170168532,2.7,10,0,0,0,4,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:55:55+01:00
airockchip/rknn-toolkit2,696280459,0.4,0,0,-1,0,0,0,-1,0,0,9,0,-1,2,0,0,-1,-1,0,,2026-04-06T19:35:27+01:00
airockchip/rknn_model_zoo,459400730,0.4,0,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-06T20:35:51+01:00
aixed/wechat-hook,485321986,2.6,0,3,-1,0,0,0,-1,0,0,10,10,-1,-1,0,0,0,-1,10,,2026-04-07T11:54:37+01:00
ajv-validator/ajv,35914020,6.6,10,8,1,2,8,10,10,10,0,10,8,-1,0,0,10,-1,0,10,,2026-04-27T14:57:00+01:00
ajv-validator/ajv-formats,281084700,3.9,10,,0,0,4,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-05-03T17:33:20+01:00
akemin-dayo/appsync,19905299,2.5,10,0,0,0,0,10,-1,0,0,9,0,-1,-1,0,0,0,-1,10,,2026-04-07T14:59:44+01:00
akopytov/sysbench,31806094,3.6,10,1,0,0,3,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-06T14:36:55+01:00
akospasztor/stm32-bootloader,87632134,3.0,10,3,0,0,0,6,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:03:10+01:00
albfan/miraclecast,22542684,3.3,10,0,3,0,1,0,10,0,0,9,2,-1,0,0,0,-1,0,10,,2026-04-06T16:36:15+01:00
aleksoid1978/mpc-be,453620090,3.0,4,0,0,0,0,0,10,0,0,10,10,-1,0,0,0,0,0,10,,2026-04-06T16:38:04+01:00
alephsecurity/xnu-qemu-arm64,190453050,2.3,2,0,0,0,3,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T13:55:40+01:00
alexaltea/orbital,108667201,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T17:35:40+01:00
alexcrichton/tar-rs,21946092,7.6,10,,6,0,8,10,10,10,10,10,10,-1,0,0,0,-1,10,10,,2026-05-03T23:21:24+01:00
alexdobin/star,17778869,2.0,4,1,0,0,0,10,-1,0,0,10,0,-1,0,0,0,0,-1,10,,2026-04-06T20:37:56+01:00
alexei/sprintf.js,9175790,1.8,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-27T21:28:27+01:00
alexeyraspopov/picocolors,410740124,3.6,10,0,0,0,4,10,10,0,0,10,0,-1,0,0,0,-1,0,10,,2026-04-27T14:57:00+01:00
alexfanw/huster-cs,229448035,1.6,0,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T14:56:08+01:00
alexfru/smallerc,6812127,1.5,0,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T12:56:45+01:00
alexgalhardo/software-engineering,237513443,1.0,10,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,,2026-04-07T15:02:45+01:00
alexhuszagh/rust-lexical,155286170,5.4,10,3,6,0,0,3,10,10,10,9,4,-1,0,0,10,-1,0,7,,2026-04-27T21:28:35+01:00
alexindigo/asynckit,59087459,2.7,10,0,0,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:28:42+01:00
alfiecg24/trollinstallerx,766661694,2.3,6,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T11:54:37+01:00
alibaba/gaiax,456772654,3.0,0,6,6,0,1,10,10,0,0,10,1,10,0,3,0,-1,0,0,,2026-04-07T15:00:51+01:00
alibaba/gcanvas,122935708,3.6,8,6,0,0,5,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,,2026-04-07T10:55:56+01:00
alibaba/tengine,3784017,4.7,10,1,3,0,8,10,10,0,0,10,8,-1,0,0,0,-1,0,10,,2026-04-06T12:41:31+01:00
alibaba/tsar,7642569,3.4,10,0,0,0,5,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T19:48:18+01:00
alibaba/xquic,424947551,6.2,10,1,10,0,9,3,10,0,0,10,10,10,0,10,10,-1,0,10,,2026-04-07T10:57:28+01:00
allalgorithms/c,149231271,3.9,10,0,0,0,10,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:56:43+01:00
allinurl/goaccess,11397939,5.4,10,3,7,0,1,10,10,0,0,10,10,10,0,0,10,-1,0,10,,2026-04-06T12:37:49+01:00
altramayor/f3,2984156,4.3,10,0,10,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T18:36:31+01:00
altramayor/gatekeeper,62745741,3.2,10,3,0,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T11:57:41+01:00
am0nsec/hellsgate,268861709,2.4,10,0,0,0,1,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:00:25+01:00
amadvance/snapraid,17883395,4.8,10,0,-1,0,0,0,10,0,0,9,10,-1,0,10,0,0,9,10,,2026-04-06T19:49:11+01:00
amanieu/parking_lot,58731560,4.1,10,0,9,0,5,10,10,0,0,10,3,-1,0,0,0,-1,0,10,,2026-04-27T21:28:45+01:00
analogdevicesinc/no-os,7014478,6.5,10,8,10,0,10,10,10,0,0,9,10,-1,0,9,0,0,9,10,,2026-04-07T14:55:57+01:00
andialbrecht/sqlparse,4067434,4.8,10,0,2,0,1,10,10,0,10,10,0,-1,0,7,10,-1,0,10,,2026-04-27T21:28:47+01:00
andlabs/libui,34088285,2.7,10,0,0,0,2,10,-1,0,0,9,0,-1,-1,0,0,0,-1,10,,2026-04-06T13:37:05+01:00
andmarti1424/sc-im,25980738,3.7,10,0,0,0,1,10,10,0,0,9,5,-1,0,0,0,-1,0,10,,2026-04-06T15:35:56+01:00
andreas-mausch/whatsapp-viewer,18067526,2.3,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T13:57:55+01:00
andrei-markeev/ts2c,64089592,3.0,10,0,0,0,0,0,-1,10,0,10,0,-1,-1,0,0,-1,-1,5,,2026-04-07T13:59:22+01:00
andrewrk/libsoundio,38333501,3.8,10,0,0,0,9,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:48:49+01:00
andrewrk/node-pend,11836813,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:28:50+01:00
ands/lightmapper,58688426,2.5,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:57:49+01:00
