repo,repo_id,criticality_score,language,license,star_count,created_at,updated_at,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_release_count,updated_issues_count,closed_issues_count,issue_comment_frequency,github_mention_count,depsdev_enabled,checked_at,status,error_reason
torvalds/linux,gh/2325298,0.80952,C,Other,237991,2011-09-04T22:45:10Z,2026-06-28T19:01:31Z,180,0,5000,10,1707.19,63,0,0,0,170717640,False,2026-06-29T15:16:15+00:00,ok,
rust-lang/rust,gh/724712,0.77291,Rust,Apache License 2.0,114425,2010-06-16T20:39:03Z,2026-06-29T09:55:40Z,195,0,5000,6,604,11,0,0,0,1495190,False,2026-06-29T14:46:35+00:00,ok,
nodejs/node,gh/27193779,0.75836,JavaScript,Other,118155,2009-02-16T00:02:00Z,2026-06-29T13:57:19Z,211,0,4377,8,53.13,57,0,0,0,3782046,False,2026-06-29T14:11:19+00:00,ok,
systemd/systemd,gh/32873313,0.75652,C,GNU General Public License v2.0,16441,2005-04-27T03:59:47Z,2026-06-28T12:40:07Z,257,0,3343,6,150.27,45,0,0,0,519764,False,2026-06-29T15:11:21+00:00,ok,
storybookjs/storybook,gh/54173593,0.75041,TypeScript,MIT License,90470,2015-12-11T10:54:01Z,2026-06-29T14:29:57Z,128,0,2678,9,204.98,217,0,0,0,129840,False,2026-06-29T15:04:56+00:00,ok,
apache/airflow,gh/33884891,0.75020,Python,Apache License 2.0,45968,2014-10-06T21:29:38Z,2026-06-29T11:10:02Z,142,0,4457,9,154.23,24,0,0,0,82471,False,2026-06-29T11:42:59+00:00,ok,
git/git,gh/36502,0.73346,C,Other,61870,2005-04-07T22:13:13Z,2026-06-28T15:28:08Z,258,0,2441,5,72.73,47,0,0,0,104404229,False,2026-06-29T12:40:04+00:00,ok,
python/cpython,gh/81598961,0.72393,Python,Other,73609,1990-08-09T14:25:15Z,2026-06-29T14:11:03Z,436,0,3903,6,85.58,18,0,0,0,100554,False,2026-06-29T14:32:09+00:00,ok,
openssl/openssl,gh/7634677,0.71848,C,Apache License 2.0,30382,1998-12-21T10:52:45Z,2026-06-22T23:01:17Z,335,0,1526,5,52.27,33,0,0,0,2572007,False,2026-06-29T14:20:03+00:00,ok,
babel/babel,gh/24560307,0.71526,TypeScript,MIT License,44013,2012-09-24T08:48:45Z,2026-06-27T08:05:00Z,167,0,1253,10,9.12,29,0,0,0,799844,False,2026-06-29T11:49:39+00:00,ok,
numpy/numpy,gh/908607,0.71329,Python,Other,32407,2001-12-18T15:45:10Z,2026-06-28T15:52:44Z,298,0,2095,10,43.81,14,0,0,0,86467,False,2026-06-29T14:17:10+00:00,ok,
eslint/eslint,gh/11061773,0.70964,JavaScript,MIT License,27394,2013-06-29T23:50:42Z,2026-06-29T08:01:42Z,158,0,1216,8,11.6,32,0,0,0,1644917,False,2026-06-29T12:06:58+00:00,ok,
react/react,gh/10270250,0.70915,JavaScript,MIT License,246312,2013-05-24T16:15:54Z,2026-06-29T14:04:55Z,159,0,1992,8,19.23,25,0,0,0,149719,False,2026-06-29T17:46:22+00:00,ok,
getsentry/sentry-javascript,gh/3328572,0.70451,TypeScript,MIT License,8699,2011-11-29T05:35:57Z,2026-06-29T11:51:45Z,177,0,731,8,53.15,100,0,0,0,192455,False,2026-06-29T12:39:51+00:00,ok,
gnome/glib,gh/4537082,0.70348,C,Other,1754,1998-06-10T23:21:14Z,2026-07-13T10:16:03Z,341,0,1845,7,23.92,21,1,1,0,89411,False,2026-07-13T16:57:58+00:00,ok,
definitelytyped/definitelytyped,gh/6093316,0.70189,TypeScript,Other,51306,2012-10-05T16:39:45Z,2026-06-29T09:48:43Z,167,0,5000,7,31.23,0,0,0,0,3092868,False,2026-06-29T12:00:57+00:00,ok,
