"project","language","github_repo","repo_id","main_repo","homepage","fetched_at"
"abseil-cpp","c++","abseil/abseil-cpp","104231541","https://github.com/abseil/abseil-cpp.git","abseil.io","2026-05-31T14:41:16+01:00"
"abseil-py","python","abseil/abseil-py","104132246","https://github.com/abseil/abseil-py","https://github.com/abseil/abseil-py","2026-05-31T14:41:16+01:00"
"ada-url","c++","ada-url/ada","579485798","https://github.com/ada-url/ada.git","https://ada-url.github.io/ada","2026-05-31T14:41:16+01:00"
"adal","python","AzureAD/azure-activedirectory-library-for-python","43620042","https://github.com/AzureAD/azure-activedirectory-library-for-python","https://github.com/AzureAD/azure-activedirectory-library-for-python","2026-05-31T14:41:16+01:00"
"aiohttp","python","aio-libs/aiohttp","13258039","https://github.com/aio-libs/aiohttp","https://github.com/aio-libs/aiohttp","2026-05-31T14:41:16+01:00"
"airflow","python","apache/airflow","33884891","https://github.com/apache/airflow","https://github.com/apache/airflow","2026-05-31T14:41:16+01:00"
"alembic","c++","alembic/alembic","","https://github.com/alembic/alembic","https://github.com/alembic/alembic","2026-05-31T14:41:16+01:00"
"ampproject","c++","ampproject/amphtml","","https://github.com/ampproject/amphtml","https://github.com/ampproject/amphtml","2026-05-31T14:41:16+01:00"
"angle","c++","","","https://chromium.googlesource.com/angle/angle","https://chromium.googlesource.com/angle/angle","2026-05-31T14:41:16+01:00"
"angular","javascript","angular/angular","24195339","https://github.com/angular/angular.git","https://angular.io/","2026-05-31T14:41:16+01:00"
"angus-mail","jvm","eclipse-ee4j/angus-mail","","https://github.com/eclipse-ee4j/angus-mail.git","https://eclipse-ee4j.github.io/mail","2026-05-31T14:41:16+01:00"
"anise","rust","nyx-space/anise","","https://github.com/nyx-space/anise.git","https://docs.rs/anise/latest/anise/index.html","2026-05-31T14:41:16+01:00"
"aniso8601","python","","","https://bitbucket.org/nielsenb/aniso8601","https://bitbucket.org/nielsenb/aniso8601","2026-05-31T14:41:16+01:00"
"ansible","python","ansible/ansible","3638964","https://github.com/ansible/ansible","https://github.com/ansible/ansible","2026-05-31T14:41:16+01:00"
"antlr3-java","jvm","antlr/antlr3","","https://github.com/antlr/antlr3.git","https://www.antlr.org","2026-05-31T14:41:16+01:00"
"antlr4-java","jvm","antlr/antlr4","501687","https://github.com/antlr/antlr4.git","https://www.antlr.org","2026-05-31T14:41:16+01:00"
"apache-axis2","jvm","apache/axis-axis2-java-core","","https://github.com/apache/axis-axis2-java-core.git","https://axis.apache.org/axis2/java/core/","2026-05-31T14:41:16+01:00"
"apache-commons-bcel","jvm","apache/commons-bcel","","https://github.com/apache/commons-bcel.git","https://commons.apache.org/proper/commons-bcel/","2026-05-31T14:41:16+01:00"
"apache-commons-beanutils","jvm","apache/commons-beanutils","","https://github.com/apache/commons-beanutils.git","https://commons.apache.org/proper/commons-beanutils/","2026-05-31T14:41:16+01:00"
"apache-commons-cli","jvm","apache/commons-cli","","https://github.com/apache/commons-cli.git","https://commons.apache.org/proper/commons-cli/","2026-05-31T14:41:16+01:00"
"apache-commons-codec","jvm","","","https://gitbox.apache.org/repos/asf/commons-codec.git","https://commons.apache.org/proper/commons-codec/","2026-05-31T14:41:16+01:00"
