repo,repo_id,packages_queried,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,Debian:python,2026-05-18T01:11:34+00:00
7rulnik/source-map-js,330043541,npm:source-map-js,2026-05-18T01:11:34+00:00
acornjs/acorn,5932749,"npm:acorn,npm:acorn-walk,npm:acorn-loose",2026-05-18T01:11:36+00:00
acornjs/acorn-jsx,22187098,npm:acorn-jsx,2026-05-18T01:11:34+00:00
adobe/react-spectrum,208362715,"npm:@react-types/shared,npm:@react-aria/ssr,npm:@react-aria/utils,npm:@react-aria/interactions,npm:@react-stately/utils,npm:@react-stately/flags,npm:@react-aria/focus,npm:@internationalized/date,npm:@internationalized/number,npm:@react-types/overlays,npm:@react-stately/form,npm:@internationalized/string,npm:@react-aria/i18n,npm:@react-types/button,npm:@internationalized/message,npm:@react-stately/collections,npm:@react-stately/overlays,npm:@react-aria/form,npm:@react-aria/visually-hidden,npm:@react-types/checkbox",2026-05-18T01:11:54+00:00
agronholm/anyio,145337588,PyPI:anyio,2026-05-18T01:11:34+00:00
agronholm/exceptiongroup,447694800,PyPI:exceptiongroup,2026-05-18T01:11:34+00:00
ai/nanoid,99401299,npm:nanoid,2026-05-18T01:11:34+00:00
aio-libs/aiobotocore,36618494,PyPI:aiobotocore,2026-05-18T01:11:34+00:00
aio-libs/aiohttp,13258039,PyPI:aiohttp,2026-05-18T01:11:36+00:00
aio-libs/aiosignal,205007356,PyPI:aiosignal,2026-05-18T01:11:35+00:00
aio-libs/async-timeout,67703198,PyPI:async-timeout,2026-05-18T01:11:35+00:00
aio-libs/frozenlist,204197530,PyPI:frozenlist,2026-05-18T01:11:35+00:00
aio-libs/multidict,51206425,PyPI:multidict,2026-05-18T01:11:35+00:00
aio-libs/propcache,866565706,PyPI:propcache,2026-05-18T01:11:35+00:00
aio-libs/yarl,64756820,PyPI:yarl,2026-05-18T01:11:35+00:00
ajv-validator/ajv,35914020,npm:ajv,2026-05-18T01:11:35+00:00
ajv-validator/ajv-formats,281084700,npm:ajv-formats,2026-05-18T01:11:36+00:00
ajv-validator/ajv-keywords,60477053,npm:ajv-keywords,2026-05-18T01:11:36+00:00
alexcrichton/tar-rs,21946092,crates.io:tar,2026-05-18T01:11:37+00:00
alexei/sprintf.js,9175790,npm:sprintf-js,2026-05-18T01:11:36+00:00
alexeyraspopov/picocolors,410740124,npm:picocolors,2026-05-18T01:11:36+00:00
alexhuszagh/rust-lexical,155286170,"crates.io:lexical-util,crates.io:lexical-parse-integer,crates.io:lexical-core,crates.io:lexical-write-integer,crates.io:lexical-parse-float,crates.io:lexical-write-float,crates.io:lexical",2026-05-18T01:11:42+00:00
alexindigo/asynckit,59087459,npm:asynckit,2026-05-18T01:11:36+00:00
amanieu/parking_lot,58731560,"crates.io:parking_lot_core,crates.io:lock_api,crates.io:parking_lot",2026-05-18T01:11:38+00:00
andialbrecht/sqlparse,4067434,PyPI:sqlparse,2026-05-18T01:11:37+00:00
andrewrk/node-pend,11836813,npm:pend,2026-05-18T01:11:37+00:00
andyperlitch/jsbn,9710533,npm:jsbn,2026-05-18T01:11:37+00:00
angular/angular-cli,36891867,"npm:@angular-devkit/core,npm:@angular-devkit/schematics,npm:@angular-devkit/architect,npm:@schematics/angular",2026-06-28T15:39:04+00:00
annotated-types/annotated-types,487934134,PyPI:annotated-types,2026-05-18T01:11:37+00:00
antonk52/lilconfig,238967485,npm:lilconfig,2026-05-18T01:11:37+00:00
