repo,repo_id,package,has_pypi_funding,pypi_funding_platforms,pypi_funding_url,fetched_at,status
agronholm/anyio,145337588,anyio,False,,,2026-06-29T23:54:38+00:00,ok
agronholm/exceptiongroup,447694800,exceptiongroup,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/aiobotocore,36618494,aiobotocore,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/aiohttp,13258039,aiohttp,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/aiosignal,205007356,aiosignal,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/async-timeout,67703198,async-timeout,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/frozenlist,204197530,frozenlist,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/multidict,51206425,multidict,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/propcache,866565706,propcache,False,,,2026-06-29T23:54:38+00:00,ok
aio-libs/yarl,64756820,yarl,False,,,2026-06-29T23:54:38+00:00,ok
andialbrecht/sqlparse,4067434,sqlparse,False,,,2026-06-29T23:54:38+00:00,ok
annotated-types/annotated-types,487934134,annotated-types,False,,,2026-06-29T23:54:38+00:00,ok
apache/airflow,33884891,apache-airflow,False,,,2026-06-29T23:54:38+00:00,ok
apache/arrow,51905353,pyarrow,False,,,2026-06-29T23:54:38+00:00,ok
astanin/python-tabulate,205875548,tabulate,False,,,2026-06-29T23:54:38+00:00,ok
astral-sh/ruff,523043277,ruff,False,,,2026-06-29T23:54:38+00:00,ok
aws/aws-cli,6780767,awscli,False,,,2026-06-29T23:54:38+00:00,ok
azure/azure-sdk-for-python,4127088,azure-core,False,,,2026-06-29T23:54:38+00:00,ok
azuread/microsoft-authentication-library-for-python,67243113,msal,False,,,2026-06-29T23:54:38+00:00,ok
benjaminp/six,77868600,six,False,,,2026-06-29T23:54:38+00:00,ok
boto/boto3,24774658,boto3,False,,,2026-06-29T23:54:38+00:00,ok
boto/botocore,6670942,botocore,False,,,2026-06-29T23:54:38+00:00,ok
boto/s3transfer,49535299,s3transfer,False,,,2026-06-29T23:54:38+00:00,ok
businho/pytest-ruff,599731435,pytest-ruff,False,,,2026-06-29T23:54:38+00:00,ok
certbot/certbot,26516210,acme,False,,,2026-06-29T23:54:38+00:00,ok
certifi/python-certifi,3060959,certifi,False,,,2026-06-29T23:54:38+00:00,ok
chardet/chardet,5196969,chardet,False,,,2026-06-29T23:54:38+00:00,ok
cloudflare/cloudflare-python,753271547,cloudflare,False,,,2026-06-29T23:54:38+00:00,ok
coveragepy/coveragepy,138421996,coverage,True,tidelift,https://tidelift.com/subscription/pkg/pypi-coverage?utm_source=pypi-coverage&utm_medium=referral&utm_campaign=pypi,2026-06-29T23:54:38+00:00,ok
cpburnz/python-pathspec,14648551,pathspec,False,,,2026-06-29T23:54:38+00:00,ok
crate-py/rpds,608018848,rpds-py,True,"github,tidelift",https://github.com/sponsors/Julian,2026-06-29T23:54:38+00:00,ok
dateutil/dateutil,26876372,python-dateutil,False,,,2026-06-29T23:54:38+00:00,ok
davidhalter/parso,90668463,parso,False,,,2026-06-29T23:54:38+00:00,ok
django/asgiref,48501860,asgiref,False,,,2026-06-29T23:54:38+00:00,ok
docutils/docutils,44840244,docutils,False,,,2026-06-29T23:54:38+00:00,ok
eliben/pycparser,10589864,pycparser,False,,,2026-06-29T23:54:38+00:00,ok
encode/httpcore,237210639,httpcore,False,,,2026-06-29T23:54:38+00:00,ok
encode/httpx,179492861,httpx,False,,,2026-06-29T23:54:38+00:00,ok
executablebooks/markdown-it-py,249956697,markdown-it-py,False,,,2026-06-29T23:54:38+00:00,ok
executablebooks/mdurl,387293763,mdurl,False,,,2026-06-29T23:54:38+00:00,ok
facelessuser/soupsieve,160789418,soupsieve,False,,,2026-06-29T23:54:38+00:00,ok
fsspec/filesystem_spec,130727736,fsspec,False,,,2026-06-29T23:54:38+00:00,ok
fsspec/s3fs,53987953,s3fs,False,,,2026-06-29T23:54:38+00:00,ok
giampaolo/psutil,20101515,psutil,False,,,2026-06-29T23:54:38+00:00,ok
gitpython-developers/gitdb,1126093,gitdb,False,,,2026-06-29T23:54:38+00:00,ok
gitpython-developers/smmap,1865144,smmap,False,,,2026-06-29T23:54:38+00:00,ok
google/brotli,24993138,brotli,False,,,2026-06-29T23:54:38+00:00,ok
googleapis/google-cloud-python,16316451,google-auth,False,,,2026-06-29T23:54:38+00:00,ok
grahamdumpleton/wrapt,10357291,wrapt,False,,,2026-06-29T23:54:38+00:00,ok
grantjenks/python-sortedcontainers,17144859,sortedcontainers,False,,,2026-06-29T23:54:38+00:00,ok
grpc/grpc,27729880,grpcio,False,,,2026-06-29T23:54:38+00:00,ok
gsnedders/python-webencodings,7043404,webencodings,False,,,2026-06-29T23:54:38+00:00,ok
gweis/isodate,6449370,isodate,False,,,2026-06-29T23:54:38+00:00,ok
httplib2/httplib2,53002916,httplib2,False,,,2026-06-29T23:54:38+00:00,ok
huggingface/huggingface_hub,323591830,huggingface-hub,False,,,2026-06-29T23:54:38+00:00,ok
hukkin/tomli,370616797,tomli,False,,,2026-06-29T23:54:38+00:00,ok
indygreg/python-zstandard,67307930,zstandard,False,,,2026-06-29T23:54:38+00:00,ok
ipython/traitlets,14993021,traitlets,True,custom,https://numfocus.org,2026-06-29T23:54:38+00:00,ok
jaraco/jaraco.develop,48289082,jaraco-develop,False,,,2026-06-29T23:54:38+00:00,ok
jaraco/pytest-perf,372026120,pytest-perf,False,,,2026-06-29T23:54:38+00:00,ok
jaraco/zipp,157774633,zipp,False,,,2026-06-29T23:54:38+00:00,ok
jawah/charset_normalizer,200259335,charset-normalizer,False,,,2026-06-29T23:54:38+00:00,ok
jd/tenacity,65468547,tenacity,False,,,2026-06-29T23:54:38+00:00,ok
jmespath/jmespath.py,8300763,jmespath,False,,,2026-06-29T23:54:38+00:00,ok
joblib/joblib,654608,joblib,False,,,2026-06-29T23:54:38+00:00,ok
jpadilla/pyjwt,1408162,pyjwt,False,,,2026-06-29T23:54:38+00:00,ok
jquast/wcwidth,18464187,wcwidth,False,,,2026-06-29T23:54:38+00:00,ok
kjd/idna,10323585,idna,False,,,2026-06-29T23:54:38+00:00,ok
langchain-ai/langchain,552661142,langchain-core,False,,,2026-06-29T23:54:38+00:00,ok
laurent-laporte-pro/deprecated,111412148,deprecated,False,,,2026-06-29T23:54:38+00:00,ok
legrandin/pycryptodome,19378935,pycryptodomex,False,,,2026-06-29T23:54:38+00:00,ok
lxml/lxml,1353927,lxml,False,,,2026-06-29T23:54:38+00:00,ok
matplotlib/matplotlib,1385122,matplotlib,True,custom,https://numfocus.org/donate-to-matplotlib,2026-06-29T23:54:38+00:00,ok
mhammond/pywin32,108187130,pywin32,False,,,2026-06-29T23:54:38+00:00,ok
micheles/decorator,14656555,decorator,False,,,2026-06-29T23:54:38+00:00,ok
more-itertools/more-itertools,4144530,more-itertools,False,,,2026-06-29T23:54:38+00:00,ok
mrabarnett/mrab-regex,309446978,regex,False,,,2026-06-29T23:54:38+00:00,ok
msgpack/msgpack-python,2242705,msgpack,False,,,2026-06-29T23:54:38+00:00,ok
numpy/numpy,908607,numpy,False,,,2026-06-29T23:54:38+00:00,ok
oauthlib/oauthlib,2811323,oauthlib,False,,,2026-06-29T23:54:38+00:00,ok
open-telemetry/opentelemetry-python,185478926,opentelemetry-api,False,,,2026-06-29T23:54:38+00:00,ok
open-telemetry/opentelemetry-python-contrib,220524743,opentelemetry-instrumentation,False,,,2026-06-29T23:54:38+00:00,ok
pallets/click,19103692,click,True,custom,https://palletsprojects.com/donate,2026-06-29T23:54:38+00:00,ok
pallets/flask,596892,flask,True,custom,https://palletsprojects.com/donate,2026-06-29T23:54:38+00:00,ok
pallets/itsdangerous,1945034,itsdangerous,True,custom,https://palletsprojects.com/donate,2026-06-29T23:54:38+00:00,ok
pallets/jinja,994551,jinja2,True,custom,https://palletsprojects.com/donate,2026-06-29T23:54:38+00:00,ok
pallets/markupsafe,734244,markupsafe,True,custom,https://palletsprojects.com/donate,2026-06-29T23:54:38+00:00,ok
pallets/werkzeug,997338,werkzeug,True,custom,https://palletsprojects.com/donate,2026-06-29T23:54:38+00:00,ok
pandas-dev/pandas,858127,pandas,False,,,2026-06-29T23:54:38+00:00,ok
paramiko/paramiko,119609,paramiko,False,,,2026-06-29T23:54:38+00:00,ok
pexpect/ptyprocess,24727748,ptyprocess,False,,,2026-06-29T23:54:38+00:00,ok
protocolbuffers/protobuf,23357588,protobuf,False,,,2026-06-29T23:54:38+00:00,ok
psf/requests,1362490,requests,False,,,2026-06-29T23:54:38+00:00,ok
psycopg/psycopg2,7730829,psycopg2-binary,False,,,2026-06-29T23:54:38+00:00,ok
py4j/py4j,1045976,py4j,False,,,2026-06-29T23:54:38+00:00,ok
pyasn1/pyasn1,512723255,pyasn1,False,,,2026-06-29T23:54:38+00:00,ok
pyasn1/pyasn1-modules,512723354,pyasn1-modules,False,,,2026-06-29T23:54:38+00:00,ok
pyca/bcrypt,9993757,bcrypt,False,,,2026-06-29T23:54:38+00:00,ok
pyca/cryptography,11939484,cryptography,False,,,2026-06-29T23:54:38+00:00,ok
pyca/pynacl,8350032,pynacl,False,,,2026-06-29T23:54:38+00:00,ok
pyca/pyopenssl,15778059,pyopenssl,False,,,2026-06-29T23:54:38+00:00,ok
pydantic/pydantic,90194616,pydantic,True,github,https://github.com/sponsors/samuelcolvin,2026-06-29T23:54:38+00:00,ok
pydantic/typing-inspection,930576948,typing-inspection,False,,,2026-06-29T23:54:38+00:00,ok
pygments/pygments,205564111,pygments,False,,,2026-06-29T23:54:38+00:00,ok
pypa/distlib,436970140,distlib,False,,,2026-06-29T23:54:38+00:00,ok
pypa/packaging,19837758,packaging,False,,,2026-06-29T23:54:38+00:00,ok
pypa/pip,1446467,pip,False,,,2026-06-29T23:54:38+00:00,ok
pypa/setuptools,54980593,setuptools,False,,,2026-06-29T23:54:38+00:00,ok
pypa/virtualenv,1446474,virtualenv,False,,,2026-06-29T23:54:38+00:00,ok
pypa/wheel,98346885,wheel,False,,,2026-06-29T23:54:38+00:00,ok
pyparsing/pyparsing,91262163,pyparsing,False,,,2026-06-29T23:54:38+00:00,ok
pytest-dev/iniconfig,66012563,iniconfig,False,,,2026-06-29T23:54:38+00:00,ok
pytest-dev/pluggy,34739117,pluggy,False,,,2026-06-29T23:54:38+00:00,ok
pytest-dev/pytest,37489525,pytest,True,custom,https://docs.pytest.org/en/stable/sponsor.html,2026-06-29T23:54:38+00:00,ok
python-attrs/attrs,29918975,attrs,True,"github,tidelift",https://github.com/sponsors/hynek,2026-06-29T23:54:38+00:00,ok
python-cffi/cffi,696427398,cffi,False,,,2026-06-29T23:54:38+00:00,ok
python-greenlet/greenlet,3003137,greenlet,False,,,2026-06-29T23:54:38+00:00,ok
python-hyper/brotlicffi,43543393,brotlicffi,False,,,2026-06-29T23:54:38+00:00,ok
python-hyper/h11,57372073,h11,False,,,2026-06-29T23:54:38+00:00,ok
python-jsonschema/jsonschema,3072629,jsonschema,True,"github,tidelift",https://github.com/sponsors/Julian,2026-06-29T23:54:38+00:00,ok
python-jsonschema/jsonschema-specifications,582755777,jsonschema-specifications,True,"github,tidelift",https://github.com/sponsors/Julian,2026-06-29T23:54:38+00:00,ok
python-jsonschema/referencing,569027868,referencing,True,"github,tidelift",https://github.com/sponsors/Julian,2026-06-29T23:54:38+00:00,ok
python-pillow/pillow,5171600,pillow,True,tidelift,https://tidelift.com/subscription/pkg/pypi-pillow?utm_source=pypi-pillow&utm_medium=pypi,2026-06-29T23:54:38+00:00,ok
python-poetry/tomlkit,140365570,tomlkit,False,,,2026-06-29T23:54:38+00:00,ok
python-trio/sniffio,142657210,sniffio,False,,,2026-06-29T23:54:38+00:00,ok
python/importlib_metadata,306448340,importlib-metadata,False,,,2026-06-29T23:54:38+00:00,ok
python/importlib_resources,306147182,importlib-resources,False,,,2026-06-29T23:54:38+00:00,ok
python/mypy,7053637,mypy,False,,,2026-06-29T23:54:38+00:00,ok
python/mypy_extensions,165752308,mypy-extensions,False,,,2026-06-29T23:54:38+00:00,ok
python/typing,24604008,typing,False,,,2026-06-29T23:54:38+00:00,ok
python/typing_extensions,494077289,typing-extensions,False,,,2026-06-29T23:54:38+00:00,ok
python/tzdata,242158882,tzdata,False,,,2026-06-29T23:54:38+00:00,ok
realpython/pytest-mypy,69576530,pytest-mypy,False,,,2026-06-29T23:54:38+00:00,ok
requests/requests-oauthlib,6825724,requests-oauthlib,False,,,2026-06-29T23:54:38+00:00,ok
requests/toolbelt,15515181,requests-toolbelt,False,,,2026-06-29T23:54:38+00:00,ok
rogdham/backports.zstd,977687927,backports-zstd,False,,,2026-06-29T23:54:38+00:00,ok
ronaldoussoren/pyobjc,243933900,pyobjc-core,False,,,2026-06-29T23:54:38+00:00,ok
scikit-build/ninja-python-distributions,75102202,ninja,False,,,2026-06-29T23:54:38+00:00,ok
scikit-learn/scikit-learn,843222,scikit-learn,False,,,2026-06-29T23:54:38+00:00,ok
scipy/scipy,1460385,scipy,False,,,2026-06-29T23:54:38+00:00,ok
snowflakedb/snowflake-connector-python,62262074,snowflake-connector-python,False,,,2026-06-29T23:54:38+00:00,ok
sqlalchemy/sqlalchemy,159271175,sqlalchemy,False,,,2026-06-29T23:54:38+00:00,ok
stub42/pytz,63155638,pytz,False,,,2026-06-29T23:54:38+00:00,ok
tartley/colorama,18892209,colorama,False,,,2026-06-29T23:54:38+00:00,ok
textualize/rich,220809393,rich,False,,,2026-06-29T23:54:38+00:00,ok
theskumar/python-dotenv,23727790,python-dotenv,False,,,2026-06-29T23:54:38+00:00,ok
tjguk/wmi,23124645,wmi,False,,,2026-06-29T23:54:38+00:00,ok
tkem/cachetools,18006791,cachetools,False,,,2026-06-29T23:54:38+00:00,ok
tox-dev/filelock,17098256,filelock,False,,,2026-06-29T23:54:38+00:00,ok
tox-dev/platformdirs,367032142,platformdirs,False,,,2026-06-29T23:54:38+00:00,ok
tqdm/tqdm,36804486,tqdm,False,,,2026-06-29T23:54:38+00:00,ok
typeshed-internal/stub_uploader,331669593,types-python-dateutil,False,,,2026-06-29T23:54:38+00:00,ok
uqfoundation/dill,11031844,dill,False,,,2026-06-29T23:54:38+00:00,ok
urllib3/urllib3,2410676,urllib3,False,,,2026-06-29T23:54:38+00:00,ok
wbond/asn1crypto,36823669,asn1crypto,False,,,2026-06-29T23:54:38+00:00,ok
websocket-client/websocket-client,1202362,websocket-client,False,,,2026-06-29T23:54:38+00:00,ok
yaml/pyyaml,2700147,pyyaml,False,,,2026-06-29T23:54:38+00:00,ok
