"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess","llm_guess"
"a2a-sdk","https://github.com/a2aproject/a2a-python.git","","","","","","",""
"a2wsgi","https://github.com/abersheeran/a2wsgi.git","","","","","","",""
"about-time","https://github.com/rsalmei/about-time.git","","","","","","",""
"absl-py","https://github.com/abseil/abseil-py.git","","","","","","",""
"accelerate","https://github.com/huggingface/accelerate.git","","","","","","",""
"accessible-pygments","https://github.com/quansight-labs/accessible-pygments.git","","","","","","",""
"acme","https://github.com/certbot/certbot.git","","","","","","",""
"acryl-datahub","https://github.com/datahub-project/datahub.git","","","","","","",""
"adal","https://github.com/azuread/azure-activedirectory-library-for-python.git","","","","","","",""
"addict","https://github.com/mewwts/addict.git","","","","","","",""
"adlfs","https://github.com/fsspec/adlfs.git","","","","","","git,github",""
"aenum","https://github.com/ethanfurman/aenum.git","","","","","","",""
"aeon","https://github.com/aeon-toolkit/aeon.git","","","","","","",""
"affine","https://github.com/rasterio/affine.git","","","","","","",""
"agate","https://github.com/wireservice/agate.git","","","","","","",""
"aio-pika","https://github.com/mosquito/aio-pika.git","","","","","","",""
"aioboto3","https://github.com/terricain/aioboto3.git","","","","","","",""
"aiobotocore","https://github.com/aio-libs/aiobotocore.git","","","","","","",""
"aiocache","https://github.com/aio-libs/aiocache.git","","","","","","",""
"aioconsole","https://github.com/vxgmichel/aioconsole.git","","","","","","",""
"aiocontextvars","https://github.com/fantix/aiocontextvars.git","","","","","","",""
"aiodns","https://github.com/saghul/aiodns.git","","","","","","",""
"aiofile","https://github.com/mosquito/aiofile.git","","","","","","",""
"aiofiles","https://github.com/tinche/aiofiles.git","","","","","","",""
"aiohappyeyeballs","https://github.com/aio-libs/aiohappyeyeballs.git","","","","","","",""
"aiohttp","https://github.com/aio-libs/aiohttp.git","","","","","","",""
"aiohttp-cors","https://github.com/aio-libs/aiohttp-cors.git","","","","","","",""
"aiohttp-retry","https://github.com/inyutin/aiohttp_retry.git","","","","","","",""
"aioitertools","https://github.com/omnilib/aioitertools.git","","","","","","",""
"aiokafka","https://github.com/aio-libs/aiokafka.git","","","","","","",""
"aiolimiter","https://github.com/mjpieters/aiolimiter.git","","","","","","",""
"aiomultiprocess","https://github.com/omnilib/aiomultiprocess.git","","","","","","",""
"aiomysql","https://github.com/aio-libs/aiomysql.git","","","","","","",""
"aioopenssl","https://github.com/horazont/aioopenssl.git","","","","","","",""
"aioquic","https://github.com/aiortc/aioquic.git","","","","","","",""
"aioredis","https://github.com/aio-libs/aioredis-py.git","","","","","","",""
"aioresponses","https://github.com/pnuckowski/aioresponses.git","","","","","","",""
"aiormq","https://github.com/mosquito/aiormq.git","","","","","","",""
"aiorwlock","https://github.com/aio-libs/aiorwlock.git","","","","","","",""
"aiosasl","https://github.com/horazont/aiosasl.git","","","","","","",""
"aiosignal","https://github.com/aio-libs/aiosignal.git","","","","","","",""
"aiosmtplib","https://github.com/cole/aiosmtplib.git","","","","","","",""
"aiosqlite","https://github.com/omnilib/aiosqlite.git","","","","","","",""
"aioxmpp","https://github.com/horazont/aioxmpp.git","","","","","","",""
"airbyte-api","https://github.com/airbytehq/airbyte-api-python-sdk.git","","","","","","",""
"alabaster","https://github.com/sphinx-doc/alabaster.git","","","","","","",""
"albucore","https://github.com/albumentations-team/albucore.git","","","","","","git,github",""
"albumentations","https://github.com/albumentations-team/albumentations.git","","","","","","git,github",""
"ale-py","https://github.com/farama-foundation/arcade-learning-environment.git","","","","","","",""
"alembic","https://github.com/sqlalchemy/alembic.git","","","","","","",""
"alibabacloud-adb20211201","https://github.com/aliyun/alibabacloud-python-sdk.git","","","","","","",""
