package,license,fetched_at
a2a-sdk,apache-2.0,2026-04-27T15:10:37Z
a2wsgi,apache-2.0,2026-04-27T15:10:37Z
about-time,mit,2026-04-27T15:10:37Z
absl-py,apache-2.0,2026-04-27T15:10:37Z
accelerate,apache-2.0,2026-04-27T15:10:37Z
accessible-pygments,bsd-3-clause,2026-04-27T15:10:37Z
acme,apache-2.0,2026-04-27T15:10:37Z
acryl-datahub,apache-2.0,2026-04-27T15:10:37Z
adal,mit,2026-04-27T15:10:37Z
addict,mit,2026-04-27T15:10:37Z
adlfs,bsd-3-clause,2026-04-27T15:10:37Z
aenum,bsd-3-clause,2026-04-27T15:10:37Z
aeon,,2026-04-27T15:10:37Z
affine,bsd-3-clause,2026-04-27T15:10:37Z
agate,mit,2026-04-27T15:10:37Z
aio-pika,apache-2.0,2026-04-27T15:10:37Z
aioboto3,apache-2.0,2026-04-27T15:10:37Z
aiobotocore,apache-2.0,2026-04-27T15:10:37Z
aiocache,,2026-04-27T15:10:37Z
aioconsole,gpl-3.0-or-later,2026-04-27T15:10:37Z
aiocontextvars,bsd-3-clause,2026-04-27T15:10:37Z
aiodns,mit,2026-04-27T15:10:37Z
aiofile,apache-2.0,2026-04-27T15:10:37Z
aiofiles,apache-2.0,2026-04-27T15:10:37Z
aiohappyeyeballs,python-2.0,2026-04-27T15:10:37Z
aiohttp,,2026-04-27T15:10:37Z
aiohttp-cors,apache-2.0,2026-04-27T15:10:37Z
aiohttp-retry,mit,2026-04-27T15:10:37Z
aioitertools,mit,2026-04-27T15:10:37Z
aiokafka,apache-2.0,2026-04-27T15:10:37Z
aiolimiter,mit,2026-04-27T15:10:37Z
aiomultiprocess,mit,2026-04-27T15:10:37Z
aiomysql,mit,2026-04-27T15:10:37Z
aioopenssl,apache-2.0,2026-04-27T15:10:37Z
aioquic,bsd-3-clause,2026-04-27T15:10:37Z
aioredis,mit,2026-04-27T15:10:37Z
aioresponses,mit,2026-04-27T15:10:37Z
aiormq,apache-2.0,2026-04-27T15:10:37Z
aiorwlock,apache-2.0,2026-04-27T15:10:37Z
aiosasl,lgpl-3.0-or-later,2026-04-27T15:10:37Z
aiosignal,apache-2.0,2026-04-27T15:10:37Z
aiosmtplib,mit,2026-04-27T15:10:37Z
aiosqlite,mit,2026-04-27T15:10:37Z
aioxmpp,lgpl-3.0-or-later,2026-04-27T15:10:37Z
airbyte-api,,2026-04-27T15:10:37Z
alabaster,bsd-3-clause,2026-04-27T15:10:37Z
albucore,mit,2026-04-27T15:10:37Z
albumentations,mit,2026-04-27T15:10:37Z
ale-py,gpl-2.0-only,2026-04-27T15:10:37Z
alembic,mit,2026-04-27T15:10:37Z
alibabacloud-adb20211201,apache-2.0,2026-04-27T15:10:37Z
alibabacloud-credentials,apache-2.0,2026-04-27T15:10:37Z
alibabacloud-credentials-api,apache-2.0,2026-04-27T15:10:37Z
alibabacloud-gateway-spi,apache-2.0,2026-04-27T15:10:37Z
alibabacloud-tea,apache-2.0,2026-04-27T15:10:37Z
alibabacloud-tea-openapi,apache-2.0,2026-04-27T15:10:37Z
alibabacloud-tea-util,apache-2.0,2026-04-27T15:10:37Z
alive-progress,mit,2026-04-27T15:10:37Z
aliyun-python-sdk-core,apache-2.0,2026-04-27T15:10:37Z
aliyun-python-sdk-kms,apache-2.0,2026-04-27T15:10:37Z
allure-pytest,apache-2.0,2026-04-27T15:10:37Z
allure-python-commons,apache-2.0,2026-04-27T15:10:37Z
altair,bsd-3-clause,2026-04-27T15:10:37Z
altgraph,mit,2026-04-27T15:10:37Z
amazon-ion,,2026-04-27T15:10:37Z
amplitude-analytics,mit,2026-04-27T15:10:37Z
amqp,bsd-3-clause,2026-04-27T15:10:37Z
analytics-python,mit,2026-04-27T15:10:37Z
aniso8601,bsd-3-clause,2026-04-27T15:10:37Z
anndata,bsd-3-clause,2026-04-27T15:10:37Z
annotated-doc,mit,2026-04-27T15:10:37Z
annotated-types,mit,2026-04-27T15:10:37Z
annoy,,2026-04-27T15:10:37Z
ansi2html,lgpl-3.0-or-later,2026-04-27T15:10:37Z
ansible,gpl-3.0-or-later,2026-04-27T15:10:37Z
ansible-compat,mit,2026-04-27T15:10:37Z
ansible-core,gpl-3.0-or-later,2026-04-27T15:10:37Z
ansible-lint,gpl-3.0-or-later,2026-04-27T15:10:37Z
ansicolors,isc,2026-04-27T15:10:37Z
ansicon,mpl-2.0,2026-04-27T15:10:37Z
ansiwrap,apache-2.0,2026-04-27T15:10:37Z
anthropic,mit,2026-04-27T15:10:37Z
antlr4-python3-runtime,,2026-04-27T15:10:37Z
anyascii,isc,2026-04-27T15:10:37Z
anyio,mit,2026-04-27T15:10:37Z
anytree,,2026-04-27T15:10:37Z
apache-airflow,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-core,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-microsoft-fabric-plugin,,2026-04-27T15:10:37Z
apache-airflow-providers-airbyte,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-amazon,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-apache-cassandra,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-cncf-kubernetes,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-common-compat,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-common-io,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-common-sql,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-databricks,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-docker,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-fab,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-ftp,apache-2.0,2026-04-27T15:10:37Z
apache-airflow-providers-google,apache-2.0,2026-04-27T15:10:37Z
