"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"typing-extensions","python/typing_extensions","4103679283","979594688","2275013355","3191711621","5227839356","8844237395","True","0.04956012","A","https://github.com/python/typing_extensions.git","eco","gh/494077289","","psf-2.0"
"botocore","boto/botocore","5144473449","1985684005","2781640538","3924053580","7008582704","10022406419","True","0.02051222","A","https://github.com/boto/botocore.git","eco","gh/6670942","","apache-2.0"
"six","benjaminp/six","3353305511","1800532062","1960330694","2337382099","3938212049","6730070649","True","0.01961374","A","https://github.com/benjaminp/six.git","eco","gh/77868600","","mit"
"urllib3","urllib3/urllib3","5471411478","2181355078","2894368933","4470730977","6956084729","10854517673","True","0.01890507","A","https://github.com/urllib3/urllib3.git","eco","gh/2410676","","mit"
"pycparser","eliben/pycparser","2056716588","661768180","975360746","1297570866","2825433742","4523449406","True","0.01779538","A","https://github.com/eliben/pycparser.git","eco","gh/10589864","","bsd-3-clause"
"cffi","python-cffi/cffi","2254338896","862172157","1131492644","1483431279","3012994995","4781603407","True","0.01742176","A","https://github.com/python-cffi/cffi.git","eco","gh/696427398","","mit"
"requests","psf/requests","4710720306","1479249205","2512925315","3819051975","6092110312","9650264722","True","0.01635291","A","https://github.com/psf/requests.git","eco","gh/1362490","","apache-2.0"
"python-dateutil","dateutil/dateutil","3603968739","1497090367","1942612109","2585722391","4619852763","7374566067","True","0.01475728","A","https://github.com/dateutil/dateutil.git","eco","gh/26876372","","apache-2.0"
"protobuf","protocolbuffers/protobuf","2095199583","736470347","1101247511","1628408886","2564638849","4445232324","True","0.01449353","A","https://github.com/protocolbuffers/protobuf.git","override","gh/23357588","",""
"boto3","boto/boto3","9542726218","1865938335","4323548267","8395034985","16296381666","16832727837","True","0.01408427","A","https://github.com/boto/boto3.git","eco","gh/24774658","","apache-2.0"
"packaging","pypa/packaging","3325191252","755774666","1337800800","2145941479","4736441473","7649997843","True","0.01361316","A","https://github.com/pypa/packaging.git","eco","gh/19837758","","apache-2.0 or bsd-2-clause"
"jmespath","jmespath/jmespath.py","2026053896","1055139928","1233684690","1531480037","2451144923","3858819900","True","0.01333765","A","https://github.com/jmespath/jmespath.py.git","eco","gh/8300763","","mit"
"certifi","certifi/python-certifi","4348365957","1410689328","2085357758","3262446778","5493376240","9489959681","True","0.01161915","A","https://github.com/certifi/python-certifi.git","eco","gh/3060959","","mpl-2.0"
"idna","kjd/idna","4206538302","1527504494","2459966905","2967668336","5273508102","8804043674","True","0.01144821","A","https://github.com/kjd/idna.git","eco","gh/10323585","","bsd-3-clause"
"numpy","numpy/numpy","2791761790","942566850","1450310825","2026892885","3621105444","5917932947","True","0.01087272","A","https://github.com/numpy/numpy.git","eco","gh/908607","","bsd-3-clause and 0bsd and mit and zlib and cc0-1.0"
"colorama","tartley/colorama","1803062374","891513570","1301213850","1446889411","2238852698","3136842340","True","0.01044943","A","https://github.com/tartley/colorama.git","eco","gh/18892209","","bsd-3-clause"
"pytest-ruff","businho/pytest-ruff","633409","0","0","167034","1232131","1767878","False","0.01006173","A","https://github.com/businho/pytest-ruff.git","eco","gh/599731435","",""
"pyasn1","pyasn1/pyasn1","1989688118","954257295","1257929271","1523783078","2542304903","3670166042","True","0.00958856","A","https://github.com/pyasn1/pyasn1.git","eco","gh/512723255","","bsd-2-clause"
"cryptography","pyca/cryptography","2625325884","671312867","1450576137","2216991617","3524519191","5263229610","True","0.00955346","A","https://github.com/pyca/cryptography.git","eco","gh/11939484","","apache-2.0 or bsd-3-clause"
"s3transfer","boto/s3transfer","3492350922","1562442358","2214330821","2874612685","4307284730","6503084016","True","0.00939492","A","https://github.com/boto/s3transfer.git","eco","gh/49535299","","apache-2.0"
"charset-normalizer","jawah/charset_normalizer","4009336720","495735649","1967480047","3298620844","5271675667","9013171392","True","0.00933295","A","https://github.com/jawah/charset_normalizer.git","eco","gh/200259335","","mit"
"markupsafe","pallets/markupsafe","1993921077","873160949","1237512201","1509421230","2414304356","3935206648","True","0.00897863","A","https://github.com/pallets/markupsafe.git","eco","gh/734244","","bsd-3-clause"
"importlib-metadata","python/importlib_metadata","2162029974","708576062","1262728100","1843365701","2939464445","4056015560","True","0.00866023","A","https://github.com/python/importlib_metadata.git","eco","gh/306448340","","apache-2.0"
"pytest","pytest-dev/pytest","1257965673","345241830","516067149","835834690","1730213184","2862471512","True","0.008639","A","https://github.com/pytest-dev/pytest.git","eco","gh/37489525","","mit"
"setuptools","pypa/setuptools","4396526259","1590965128","2519353759","3416792952","5592485480","8863033977","True","0.00804912","A","https://github.com/pypa/setuptools.git","eco","gh/54980593","","mit"
"backports-zstd","rogdham/backports.zstd","4367614","0","0","0","0","21838068","False","0.00775401","A","https://github.com/rogdham/backports.zstd.git","eco","gh/977687927","","psf-2.0"
"tomli","hukkin/tomli","1248457598","90240136","583609331","997273323","2027806648","2543358553","True","0.00712506","A","https://github.com/hukkin/tomli.git","eco","gh/370616797","","mit"
"brotli","google/brotli","133583130","20578701","79302723","89543188","145524473","332966567","True","0.00630335","A","https://github.com/google/brotli.git","eco","gh/24993138","","mit"
"grpcio","grpc/grpc","1051904446","328360071","589849301","819996862","1297184181","2224131813","True","0.00620818","A","https://github.com/grpc/grpc.git","eco","gh/27729880","","apache-2.0"
"pyyaml","yaml/pyyaml","3002941970","1278085925","1807648981","2397637802","3986560867","5544776276","True","0.00609881","A","https://github.com/yaml/pyyaml.git","eco","gh/2700147","","mit"
"brotlicffi","python-hyper/brotlicffi","4667979","149243","1158840","2838060","4184439","15009315","False","0.00609729","A","https://github.com/python-hyper/brotlicffi.git","eco","gh/43543393","","mit"
"zipp","jaraco/zipp","1955753029","669034231","1244686026","1733825640","2681068994","3450150254","True","0.00586756","A","https://github.com/jaraco/zipp.git","eco","gh/157774633","","mit"
"ruff","astral-sh/ruff","230373714","0","244559","44964118","259417002","847242893","True","0.00577619","A","https://github.com/astral-sh/ruff.git","eco","gh/523043277","","mit"
