"project","repo","srcname","binname","visiblename","version","status","categories","licenses","fetched_at"
"0ad","debian_13","0ad","","0ad","0.27.0","outdated","games","","2026-07-13T16:47:16+00:00"
"0ad","debian_13","0ad-data","","0ad-data","0.27.0","outdated","games","","2026-07-13T16:47:16+00:00"
"0install","debian_13","0install-solver","","0install-solver","2.18","newest","misc","","2026-07-13T16:47:16+00:00"
"0install","debian_13","zeroinstall-injector","","zeroinstall-injector","2.18","newest","admin","","2026-07-13T16:47:16+00:00"
"0install","homebrew","zero-install","","zero-install","2.18","newest","","","2026-07-13T16:47:16+00:00"
"0install","homebrew","zero-install","","zero-install","HEAD","rolling","","","2026-07-13T16:47:16+00:00"
"0xffff","debian_13","0xffff","","0xffff","0.9","outdated","misc","","2026-07-13T16:47:16+00:00"
"1oom","debian_13","1oom","","1oom","1.11.2","outdated","contrib/misc","","2026-07-13T16:47:16+00:00"
"2048-qt","debian_13","2048-qt","","2048-qt","0.1.6","outdated","misc","","2026-07-13T16:47:16+00:00"
"2048.c","debian_13","2048","","2048","1.0.3","newest","misc","","2026-07-13T16:47:16+00:00"
"2048.c","homebrew","c2048","","c2048","1.0.3","newest","","","2026-07-13T16:47:16+00:00"
"2048.c","homebrew","c2048","","c2048","HEAD","rolling","","","2026-07-13T16:47:16+00:00"
"2ping","debian_13","2ping","","2ping","4.5","outdated","net","","2026-07-13T16:47:16+00:00"
"2ping","homebrew","twoping","","twoping","4.6.1","newest","","","2026-07-13T16:47:16+00:00"
"2ping","homebrew","twoping","","twoping","HEAD","rolling","","","2026-07-13T16:47:16+00:00"
"2vcard","debian_13","2vcard","","2vcard","0.6","newest","utils","","2026-07-13T16:47:16+00:00"
"389-ds-base","debian_13","389-ds-base","","389-ds-base","3.1.2","outdated","net","","2026-07-13T16:47:16+00:00"
"3d-ascii-viewer-c","debian_13","3d-ascii-viewer-c","","3d-ascii-viewer-c","1.4.0+git20240503","ignored","misc","","2026-07-13T16:47:16+00:00"
"3dc","debian_13","3dchess","","3dchess","0.8.1","newest","games","","2026-07-13T16:47:16+00:00"
"3depict","debian_13","3depict","","3depict","0.0.23","newest","science","","2026-07-13T16:47:16+00:00"
"3mux","homebrew","threemux","","threemux","1.1.0","newest","","","2026-07-13T16:47:16+00:00"
"3mux","homebrew","threemux","","threemux","HEAD","rolling","","","2026-07-13T16:47:16+00:00"
"4g8","debian_13","4g8","","4g8","1.0","unique","net","","2026-07-13T16:47:16+00:00"
"4pane","debian_13","4pane","","4pane","8.0","newest","misc","","2026-07-13T16:47:16+00:00"
"4store","homebrew","fourstore","","fourstore","1.1.7","newest","","","2026-07-13T16:47:16+00:00"
"4ti2","debian_13","4ti2","","4ti2","1.6.10","outdated","misc","","2026-07-13T16:47:16+00:00"
"64tass","debian_13","64tass","","64tass","1.59.3120","outdated","misc","","2026-07-13T16:47:16+00:00"
"64tass","homebrew","tass64","","tass64","1.60.3243","newest","","","2026-07-13T16:47:16+00:00"
"6tunnel","debian_13","6tunnel","","6tunnel","0.13","outdated","net","","2026-07-13T16:47:16+00:00"
"6tunnel","homebrew","sixtunnel","","sixtunnel","0.14","newest","","","2026-07-13T16:47:16+00:00"
"6tunnel","homebrew","sixtunnel","","sixtunnel","HEAD","rolling","","","2026-07-13T16:47:16+00:00"
"7kaa","debian_13","7kaa","","7kaa","2.15.6","outdated","games","","2026-07-13T16:47:16+00:00"
"7kaa","homebrew","seven-kingdoms","","seven-kingdoms","2.15.7","newest","","","2026-07-13T16:47:16+00:00"
"7zip","debian_13","7zip","","7zip","25.01","outdated","misc","","2026-07-13T16:47:16+00:00"
"7zip","debian_13","7zip-rar","","7zip-rar","25.00","outdated","non-free/misc","","2026-07-13T16:47:16+00:00"
"7zip","homebrew","sevenzip","","sevenzip","HEAD","rolling","","","2026-07-13T16:47:16+00:00"
"7zip","homebrew","sevenzip","","sevenzip","26.02","newest","","","2026-07-13T16:47:16+00:00"
"81voltd","debian_13","81voltd","","81voltd","1.0.0","outdated","misc","","2026-07-13T16:47:16+00:00"
"9base","debian_13","9base","","9base","6","newest","utils","","2026-07-13T16:47:16+00:00"
"9menu","debian_13","9menu","","9menu","1.11","newest","x11","","2026-07-13T16:47:16+00:00"
