"project","candidate_url","platform","status","fetched_at"
"console-setup","https://salsa.debian.org/installer-team/console-setup.git","gitlab","ok",""
"dash-shell","https://git.kernel.org/pub/scm/utils/dash/dash.git","custom","ok",""
"dash-shell","https://git.kernel.org/pub/scm/utils/dash/dash.git/","custom","ok",""
"dash-shell","https://git.kernel.org/pub/scm/utils/dash/dash.git/snapshot/dash-0.5.12.tar.gz","custom","ok",""
"db","https://github.com/berkeleydb/libdb.git","github","ok",""
"db","https://github.com/yasuhirokimura/db18.git","github","ok",""
"debianutils","https://salsa.debian.org/debian/debianutils.git","gitlab","ok",""
"dhcp","https://gitlab.isc.org/isc-projects/dhcp.git","gitlab","ok",""
"dpkg","https://git.dpkg.org/","custom","ok",""
"dpkg","https://git.dpkg.org/git/dpkg/dpkg","custom","ok",""
"dpkg","https://salsa.debian.org/dpkg-team/dpkg.git","gitlab","ok",""
"gpm","https://github.com/telmich/gpm.git","github","ok",""
"jbigkit","https://github.com/imagemagick/jbig.git","github","ok",""
"jbigkit","https://web.archive.org/web/*/https://www.cl.cam.ac.uk/~mgk25/git/jbigkit","custom","ok",""
"jbigkit","https://www.cl.cam.ac.uk/~mgk25/git/jbigkit","custom","ok",""
"less","https://github.com/baulk/less-windows.git","github","ok",""
"less","https://github.com/gwsw/less.git","github","ok",""
"less","https://github.com/jftuga/less-windows.git","github","ok",""
"libcap-ng","https://github.com/stevegrubb/libcap-ng.git","github","ok",""
"libedit","https://github.com/chimera-linux/libedit-chimera.git","github","ok",""
"libestr","https://github.com/rsyslog/libestr.git","github","ok",""
"librist","https://code.videolan.org/rist/librist.git","custom","ok",""
"libtirpc","http://git.linux-nfs.org/?p=steved/libtirpc.git","custom","ok",""
"libtirpc","http://git.linux-nfs.org/?p=steved/libtirpc.git;a=summary","custom","ok",""
"libtirpc","https://git.linux-nfs.org/?p=steved/libtirpc.git","custom","ok",""
"libtirpc","https://git.linux-nfs.org/?p=steved/libtirpc.git;a=summary","custom","ok",""
"libtirpc","https://web.archive.org/web/*/http://git.linux-nfs.org/?p=steved/libtirpc.git;a=summary","custom","ok",""
"libudfread","https://git.videolan.org/?p=libudfread.git;a=summary","custom","ok",""
"libudfread","https://web.archive.org/web/*/https://git.videolan.org/?p=libudfread.git;a=summary","custom","ok",""
"mawk","https://github.com/mikebrennan000/mawk-2.git","github","ok",""
"mawk","https://github.com/thomasdickey/mawk-snapshots.git","github","ok",""
"net-tools","https://git.code.sf.net/p/net-tools/code","custom","ok",""
"net-tools","https://github.com/ecki/net-tools.git","github","ok",""
"net-tools","https://sourceforge.net/code-snapshots/git/n/ne/net-tools/code.git/net-tools-code-479bb4a7e11a4084e2935c0a576388f92469225b.zip","custom","ok",""
"net-tools","https://web.archive.org/web/*/https://sourceforge.net/code-snapshots/git/n/ne/net-tools/code.git/net-tools-code-479bb4a7e11a4084e2935c0a576388f92469225b.zip","custom","ok",""
"nss","https://github.com/curl/curl.git","github","ok",""
"nss","https://github.com/nss-dev/nss.git","github","ok",""
"psmisc","https://gitlab.com/psmisc/psmisc.git","gitlab","ok",""
"rubberband","https://github.com/breakfastquay/rubberband.git","github","ok",""
"soxr","https://github.com/dofuuz/soxr.git","github","ok",""
"tcl-lang","https://github.com/tcltk/tcl.git","github","ok",""
"unixodbc","https://github.com/lurcher/unixodbc.git","github","ok",""
"unzip","https://github.com/madler/unzip.git","github","ok",""
"unzip","https://github.com/stal-ix/sources.git","github","ok",""
