spdx_id,spdx_id_canonical,name,is_osi_approved,is_fsf_libre,is_deprecated,reference,osi_url,fetched_at
0bsd,0BSD,BSD Zero Clause License,True,False,False,https://spdx.org/licenses/0BSD.html,https://opensource.org/license/0BSD,2026-07-06T16:17:40Z
3d-slicer-1.0,3D-Slicer-1.0,3D Slicer License v1.0,False,False,False,https://spdx.org/licenses/3D-Slicer-1.0.html,,2026-07-06T16:17:40Z
aal,AAL,Attribution Assurance License,True,False,False,https://spdx.org/licenses/AAL.html,https://opensource.org/license/AAL,2026-07-06T16:17:40Z
abstyles,Abstyles,Abstyles License,False,False,False,https://spdx.org/licenses/Abstyles.html,,2026-07-06T16:17:40Z
adacore-doc,AdaCore-doc,AdaCore Doc License,False,False,False,https://spdx.org/licenses/AdaCore-doc.html,,2026-07-06T16:17:40Z
adobe-2006,Adobe-2006,Adobe Systems Incorporated Source Code License Agreement,False,False,False,https://spdx.org/licenses/Adobe-2006.html,,2026-07-06T16:17:40Z
adobe-display-postscript,Adobe-Display-PostScript,Adobe Display PostScript License,False,False,False,https://spdx.org/licenses/Adobe-Display-PostScript.html,,2026-07-06T16:17:40Z
adobe-glyph,Adobe-Glyph,Adobe Glyph List License,False,False,False,https://spdx.org/licenses/Adobe-Glyph.html,,2026-07-06T16:17:40Z
adobe-utopia,Adobe-Utopia,Adobe Utopia Font License,False,False,False,https://spdx.org/licenses/Adobe-Utopia.html,,2026-07-06T16:17:40Z
adsl,ADSL,Amazon Digital Services License,False,False,False,https://spdx.org/licenses/ADSL.html,,2026-07-06T16:17:40Z
advanced-cryptics-dictionary,Advanced-Cryptics-Dictionary,Advanced Cryptics Dictionary License,False,False,False,https://spdx.org/licenses/Advanced-Cryptics-Dictionary.html,,2026-07-06T16:17:40Z
afl-1.1,AFL-1.1,Academic Free License v1.1,True,True,False,https://spdx.org/licenses/AFL-1.1.html,http://wayback.archive.org/web/20021004124254/http://www.opensource.org/licenses/academic.php,2026-07-06T16:17:40Z
afl-1.2,AFL-1.2,Academic Free License v1.2,True,True,False,https://spdx.org/licenses/AFL-1.2.html,http://wayback.archive.org/web/20021204204652/http://www.opensource.org/licenses/academic.php,2026-07-06T16:17:40Z
