"package","ecosystem","github_repo","pagerank","value_class","top_eco","top_eco_pkg","top_eco_pct","repo_class","repo_packages","repo_ecosystems","is_eol"
"typing-extensions","pypi","python/typing_extensions","0.04956012","A","pypi","typing-extensions","95.044","A","1","pypi","False"
"botocore","pypi","","0.02051222","A","pypi","botocore","92.9928","A","1","pypi","False"
"@babel/cli","npm","babel/babel","0.00003111","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/code-frame","npm","babel/babel","0.00183003","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/compat-data","npm","babel/babel","0.00064716","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/core","npm","babel/babel","0.00079670","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/eslint-parser","npm","babel/babel","0.00006722","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/generator","npm","babel/babel","0.00098683","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-annotate-as-pure","npm","babel/babel","0.00107977","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-compilation-targets","npm","babel/babel","0.00073771","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-create-class-features-plugin","npm","babel/babel","0.00080408","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-create-regexp-features-plugin","npm","babel/babel","0.00090441","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-environment-visitor","npm","babel/babel","0.00026853","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-globals","npm","babel/babel","0.00053017","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-member-expression-to-functions","npm","babel/babel","0.00057210","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-module-imports","npm","babel/babel","0.00087860","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-module-transforms","npm","babel/babel","0.00086248","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-optimise-call-expression","npm","babel/babel","0.00055439","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-plugin-utils","npm","babel/babel","0.01431912","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-remap-async-to-generator","npm","babel/babel","0.00038780","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-replace-supers","npm","babel/babel","0.00055792","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-skip-transparent-expression-wrappers","npm","babel/babel","0.00080014","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-string-parser","npm","babel/babel","0.00345776","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-validator-identifier","npm","babel/babel","0.00456648","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-validator-option","npm","babel/babel","0.00057432","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helper-wrap-function","npm","babel/babel","0.00034750","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/helpers","npm","babel/babel","0.00047506","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/highlight","npm","babel/babel","0.00047007","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/parser","npm","babel/babel","0.00203878","A","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key","npm","babel/babel","0.00013841","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-bugfix-safari-class-field-initializer-scope","npm","babel/babel","0.00010362","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression","npm","babel/babel","0.00016715","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining","npm","babel/babel","0.00019490","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly","npm","babel/babel","0.00012370","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-proposal-async-generator-functions","npm","babel/babel","0.00015831","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","True"
"@babel/plugin-proposal-class-properties","npm","babel/babel","0.00020799","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","True"
"@babel/plugin-proposal-decorators","npm","babel/babel","0.00011523","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-proposal-export-default-from","npm","babel/babel","0.00004629","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
