"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"babel/babel","github","gh/24560307","https://github.com/babel/babel.git","","True","npm","203","npm","@babel/helper-plugin-utils","92.2397","92.68","A","A","","","","71.53","1","81.41"
"definitelytyped/definitelytyped","github","gh/6093316","https://github.com/definitelytyped/definitelytyped.git","","True","npm","209","npm","@types/node","89.38","86.11","A","A","","","","70.19","1","79.66"
"googleapis/google-cloud-python","github","gh/16316451","https://github.com/googleapis/google-cloud-python.git","","True","pypi","64","pypi","google-auth","92.0864","89.22","A","","A","","","68.35","1","79.14"
"grpc/grpc","github","gh/27729880","https://github.com/grpc/grpc.git","","True","pypi,cpp","6","pypi","grpcio","71.0143","91.61","A","","A","","B","70.16","1","78.36"
"torvalds/linux","github","gh/2325298","https://github.com/torvalds/linux.git","https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git","True","cpp","1","cpp","linux","62.52","78.53","A","","","","A","80.95","","78.34"
"rust-lang/rust","github","gh/724712","https://github.com/rust-lang/rust.git","","True","crates","2","crates","rustc-std-workspace-core","75.6092","83.73","A","","","A","","77.29","","77.88"
"numpy/numpy","github","gh/908607","https://github.com/numpy/numpy.git","","True","pypi","1","pypi","numpy","67.6202","82.50","A","","A","","","71.33","1","77.81"
"protocolbuffers/protobuf","github","gh/23357588","https://github.com/protocolbuffers/protobuf.git","","True","pypi,cpp","2","pypi","protobuf","76.3394","100.00","A","","A","","B","66.13","1","77.31"
"typescript-eslint/typescript-eslint","github","gh/165536154","https://github.com/typescript-eslint/typescript-eslint.git","","True","npm","12","npm","@typescript-eslint/types","80.6669","75.93","A","A","","","","68.98","1","77.05"
"apache/airflow","github","gh/33884891","https://github.com/apache/airflow.git","","True","pypi","28","pypi","apache-airflow","43.5433","74.45","A","","A","","","75.02","1","76.81"
"react/react","github","gh/10270250","https://github.com/react/react.git","","True","npm","12","npm","react-is","70.2976","72.25","A","A","","","","70.91","1","76.80"
"jestjs/jest","github","gh/15062869","https://github.com/jestjs/jest.git","","True","npm","55","npm","@jest/types","87.1234","84.55","A","A","","","","65.86","1","76.68"
"storybookjs/storybook","github","gh/54173593","https://github.com/storybookjs/storybook.git","","True","npm","14","npm","@storybook/client-logger","44.7298","63.58","A","A","","","","75.04","1","75.85"
"serde-rs/serde","github","gh/14367737","https://github.com/serde-rs/serde.git","","True","crates","5","crates","serde","88.9249","92.68","A","","","A","","62.29","1","75.53"
"boto/botocore","github","gh/6670942","https://github.com/boto/botocore.git","","True","pypi","1","pypi","botocore","90.0352","86.76","A","","A","","","62.76","1","75.34"
"openssl/openssl","github","gh/7634677","https://github.com/openssl/openssl.git","","True","cpp","2","cpp","openssl","48.8615","69.43","A","","","","A","71.85","1","74.94"
"nodejs/node","github","gh/27193779","https://github.com/nodejs/node.git","","True","cpp","1","cpp","nodejs","32.7978","59.28","A","","","","A","75.84","1","74.71"
"astral-sh/ruff","github","gh/523043277","https://github.com/astral-sh/ruff.git","","True","pypi","1","pypi","ruff","52.4829","78.25","A","","A","","","69.22","1","74.61"
"azure/azure-sdk-for-python","github","gh/4127088","https://github.com/azure/azure-sdk-for-python.git","","True","pypi","130","pypi","azure-core","82.6419","85.74","A","","A","","","62.83","1","74.54"
"nodejs/undici","github","gh/133092972","https://github.com/nodejs/undici.git","","True","npm","2","npm","undici-types","76.5253","74.07","A","A","","","","65.66","1","74.46"
"aws/aws-sdk-js-v3","github","gh/87228090","https://github.com/aws/aws-sdk-js-v3.git","","True","npm","60","npm","@aws-sdk/types","80.078","75.70","A","A","","","","64.52","1","74.29"
"psf/requests","github","gh/1362490","https://github.com/psf/requests.git","","True","pypi","1","pypi","requests","79.2644","85.24","A","","A","","","63.03","1","74.27"
"pytest-dev/pytest","github","gh/37489525","https://github.com/pytest-dev/pytest.git","","True","pypi","1","pypi","pytest","59.1543","80.95","A","","A","","","66.94","1","74.17"
"urllib3/urllib3","github","gh/2410676","https://github.com/urllib3/urllib3.git","","True","pypi","1","pypi","urllib3","86.1833","86.21","A","","A","","","61.39","1","74.07"
"pyca/cryptography","github","gh/11939484","https://github.com/pyca/cryptography.git","","True","pypi","1","pypi","cryptography","63.6549","81.63","A","","A","","","65.91","1","74.07"
"getsentry/sentry-javascript","github","gh/3328572","https://github.com/getsentry/sentry-javascript.git","","True","npm","13","npm","@sentry/core","51.3103","65.19","A","A","","","","70.45","1","73.92"
"boto/boto3","github","gh/24774658","https://github.com/boto/boto3.git","","True","pypi","1","pypi","boto3","74.9309","84.23","A","","A","","","63.30","1","73.90"
"pandas-dev/pandas","github","gh/858127","https://github.com/pandas-dev/pandas.git","","True","pypi","1","pypi","pandas","47.584","75.27","A","","A","","","69.02","1","73.70"
"takluyver/jeepney","gitlab","gl/2780772","https://gitlab.com/takluyver/jeepney.git","","True","pypi","1","pypi","jeepney","26.3656","67.13","A","","A","","","","1","73.37"
"tokio-rs/tokio","github","gh/67836789","https://github.com/tokio-rs/tokio.git","","True","crates","19","crates","tokio","59.1803","78.20","A","","","A","","66.04","1","73.36"
"gnutls/gnutls","gitlab","gl/179611","https://gitlab.com/gnutls/gnutls.git","","True","cpp","1","cpp","gnutls","32.5565","59.10","A","","","","A","","1","72.91"
"lodash/lodash","github","gh/3955647","https://github.com/lodash/lodash.git","","True","npm","88","npm","lodash","82.538","76.47","A","A","","","","61.59","1","72.85"
"eslint/eslint","github","gh/11061773","https://github.com/eslint/eslint.git","","True","npm","2","npm","eslint","39.9111","61.83","A","A","","","","70.96","1","72.75"
"apache/arrow","github","gh/51905353","https://github.com/apache/arrow.git","","True","npm,pypi","2","pypi","pyarrow","36.0688","77.40","A","C","A","","","68.78","1","72.61"
"rust-lang/libc","github","gh/29197565","https://github.com/rust-lang/libc.git","","True","crates","1","crates","libc","63.2736","80.60","A","","","A","","62.53","1","71.91"
"scipy/scipy","github","gh/1460385","https://github.com/scipy/scipy.git","","True","pypi","1","pypi","scipy","38.5216","72.11","A","","A","","","67.94","1","71.83"
"pydantic/pydantic","github","gh/90194616","https://github.com/pydantic/pydantic.git","","True","pypi","2","pypi","pydantic","53.6472","78.40","A","","A","","","64.11","1","71.67"
"aio-libs/aiohttp","github","gh/13258039","https://github.com/aio-libs/aiohttp.git","","True","pypi","1","pypi","aiohttp","48.7359","76.03","A","","A","","","65.33","1","71.67"
"systemd/systemd","github","gh/32873313","https://github.com/systemd/systemd.git","","True","cpp","1","cpp","systemd","49.8557","69.46","A","","","","A","75.65","","71.65"
"open-telemetry/opentelemetry-js","github","gh/185901023","https://github.com/open-telemetry/opentelemetry-js.git","","True","npm","31","npm","@opentelemetry/semantic-conventions","66.3385","70.71","A","A","","","","63.20","1","71.62"
"aws/aws-cli","github","gh/6780767","https://github.com/aws/aws-cli.git","","True","pypi,cpp","2","pypi","awscli","42.3271","92.26","A","","A","","A","63.57","1","71.60"
"vitest-dev/vitest","github","gh/434708679","https://github.com/vitest-dev/vitest.git","","True","npm","9","npm","@vitest/pretty-format","44.8233","63.59","A","A","","","","67.51","1","71.35"
"pypa/pip","github","gh/1446467","https://github.com/pypa/pip.git","","True","pypi","1","pypi","pip","47.9546","75.35","A","","A","","","64.92","1","71.28"
"scikit-learn/scikit-learn","github","gh/843222","https://github.com/scikit-learn/scikit-learn.git","","True","pypi","1","pypi","scikit-learn","25.7154","66.92","A","","A","","","69.87","1","71.19"
"pypa/setuptools","github","gh/54980593","https://github.com/pypa/setuptools.git","","True","pypi","1","pypi","setuptools","58.3494","80.48","A","","A","","","62.15","1","71.17"
"curl/curl","github","gh/569041","https://github.com/curl/curl.git","","True","cpp","2","cpp","curl","32.0777","59.02","A","","","","A","69.92","1","71.06"
"pypa/packaging","github","gh/19837758","https://github.com/pypa/packaging.git","","True","pypi","2","pypi","packaging","73.5677","84.02","A","","A","","","58.69","1","70.97"
"langchain-ai/langchain","github","gh/552661142","https://github.com/langchain-ai/langchain.git","","True","pypi","8","pypi","langchain-core","27.8739","67.99","A","","A","","","68.73","1","70.82"
"serde-rs/json","github","gh/35894511","https://github.com/serde-rs/json.git","","True","crates","1","crates","serde_json","66.0086","81.08","A","","","A","","59.89","1","70.64"
"python/typing_extensions","github","gh/494077289","https://github.com/python/typing_extensions.git","","True","pypi","1","pypi","typing-extensions","95.044","92.68","A","","A","","","53.08","1","70.62"
"matplotlib/matplotlib","github","gh/1385122","https://github.com/matplotlib/matplotlib.git","","True","pypi","1","pypi","matplotlib","26.1461","67.08","A","","A","","","68.52","1","70.43"
"clap-rs/clap","github","gh/31315121","https://github.com/clap-rs/clap.git","","True","crates","8","crates","clap","42.7649","73.72","A","","","A","","64.60","1","70.41"
"remix-run/react-router","github","gh/19872456","https://github.com/remix-run/react-router.git","","True","npm","3","npm","react-router","27.5405","57.56","A","A","","","","69.80","1","70.39"
"prettier/prettier","github","gh/75104123","https://github.com/prettier/prettier.git","","True","npm","1","npm","prettier","33.261","59.48","A","A","","","","68.38","1","70.30"
"gcc-mirror/gcc","github","gh/22711503","https://github.com/gcc-mirror/gcc.git","https://gcc.gnu.org/git/gcc.git","True","cpp","1","cpp","gcc","69.576","82.87","A","","","","A","68.29","","70.27"
"rust-lang/regex","github","gh/27890669","https://github.com/rust-lang/regex.git","","True","crates","5","crates","regex","58.306","78.17","A","","","A","","60.96","1","70.22"
"dtolnay/syn","github","gh/67305738","https://github.com/dtolnay/syn.git","","True","crates","3","crates","syn","71.3625","83.13","A","","","A","","57.44","1","69.91"
"python/mypy","github","gh/7053637","https://github.com/python/mypy.git","","True","pypi","1","pypi","mypy","34.6675","70.95","A","","A","","","65.58","1","69.91"
"open-telemetry/opentelemetry-python","github","gh/185478926","https://github.com/open-telemetry/opentelemetry-python.git","","True","pypi","9","pypi","opentelemetry-api","56.8025","80.19","A","","A","","","60.27","1","69.86"
"sqlalchemy/sqlalchemy","github","gh/159271175","https://github.com/sqlalchemy/sqlalchemy.git","","True","pypi","1","pypi","sqlalchemy","40.4456","72.72","A","","A","","","64.18","1","69.82"
"mui/material-ui","github","gh/23083156","https://github.com/mui/material-ui.git","","True","npm","9","npm","@mui/utils","25.0338","56.61","A","A","","","","69.31","1","69.75"
"npm/node-semver","github","gh/1357199","https://github.com/npm/node-semver.git","","True","npm","1","npm","semver","77.9446","74.86","A","A","","","","57.36","1","69.70"
"eslint/js","github","gh/27620277","https://github.com/eslint/js.git","","True","npm","3","npm","eslint-visitor-keys","69.9638","71.96","A","A","","","","59.10","1","69.65"
"smithy-lang/smithy-typescript","github","gh/208319207","https://github.com/smithy-lang/smithy-typescript.git","","True","npm","51","npm","@smithy/types","85.4661","82.51","A","A","","","","54.63","1","69.58"
"pygments/pygments","github","gh/205564111","https://github.com/pygments/pygments.git","","True","pypi,cpp","2","pypi","pygments","49.1508","84.57","A","","A","","C","60.26","1","69.53"
"vuejs/core","github","gh/137078487","https://github.com/vuejs/core.git","","True","npm","11","npm","@vue/shared","41.3918","62.40","A","A","","","","65.04","1","69.40"
"cssnano/cssnano","github","gh/33943153","https://github.com/cssnano/cssnano.git","","True","npm","38","npm","cssnano-utils","75.6834","73.48","A","A","","","","57.45","1","69.39"
"dtolnay/proc-macro2","github","gh/91860126","https://github.com/dtolnay/proc-macro2.git","","True","crates","1","crates","proc-macro2","80.3085","84.67","A","","","A","","54.81","1","69.38"
